artifact	old_id	new_id
worklist	10.1186/s13568-025-01985-4)	10.1186/s13568-025-01985-4
worklist	10.3389/fmicb.2025.1732053)	10.3389/fmicb.2025.1732053
worklist	10.1038/s41598-025-08159-z)	10.1038/s41598-025-08159-z
worklist	10.1007/s10856-025-06991-3)	10.1007/s10856-025-06991-3
worklist	10.3390/ijms26167832)	10.3390/ijms26167832
worklist	10.1186/s13568-025-01979-2)	10.1186/s13568-025-01979-2
worklist	10.1002/exp.20240045)	10.1002/exp.20240045
worklist	10.1101/2025.09.16.676538)	10.1101/2025.09.16.676538
worklist	10.3389/fcimb.2025.1586442)	10.3389/fcimb.2025.1586442
worklist	10.29244/cb.12.2.1)	10.29244/cb.12.2.1
worklist	10.1038/s44259-025-00135-x)	10.1038/s44259-025-00135-x
worklist	10.1038/s41467-025-66221-w)	10.1038/s41467-025-66221-w
worklist	10.1186/s12866-025-04475-6)	10.1186/s12866-025-04475-6
worklist	10.4014/jmb.2510.10049)	10.4014/jmb.2510.10049
worklist	10.2147/ijgm.s562925)	10.2147/ijgm.s562925
worklist	10.1007/s10856-025-06998-w)	10.1007/s10856-025-06998-w
worklist	10.4014/jmb.2510.10051)	10.4014/jmb.2510.10051
worklist	10.1007/s00253-026-13739-8)	10.1007/s00253-026-13739-8
worklist	10.1038/s41598-026-40997-3)	10.1038/s41598-026-40997-3
worklist	10.1038/s41598-026-39141-y)	10.1038/s41598-026-39141-y
worklist	10.3390/biom16010148)	10.3390/biom16010148
worklist	10.3389/fmicb.2026.1750102)	10.3389/fmicb.2026.1750102
worklist	10.1371/journal.ppat.1013954)	10.1371/journal.ppat.1013954
worklist	10.1186/s11671-026-04474-0)	10.1186/s11671-026-04474-0
worklist	10.3390/ph19030446)	10.3390/ph19030446
worklist	10.1039/d5dd00152h_v2_review2)	10.1039/d5dd00152h/v2_review2
worklist	10.3389/fmicb.2026.1756119)	10.3389/fmicb.2026.1756119
worklist	10.2147/idr.s588264)	10.2147/idr.s588264
worklist	10.18311/jnr_2026_50380)	10.18311/jnr/2026_50380
worklist	10.1186/s11671-025-04426-0)	10.1186/s11671-025-04426-0
worklist	10.3389/fmicb.2026.1807695)	10.3389/fmicb.2026.1807695
worklist	10.1038/s41598-026-39586-1)	10.1038/s41598-026-39586-1
worklist	10.3390/cimb48030318)	10.3390/cimb48030318
worklist	10.21203/rs.3.rs-8631439_v1)	10.21203/rs.3.rs-8631439/v1
worklist	10.1186/s11671-026-04529-2)	10.1186/s11671-026-04529-2
worklist	10.1186/s11671-026-04498-6)	10.1186/s11671-026-04498-6
worklist	10.3390/md24010032)	10.3390/md24010032
worklist	10.3390/antibiotics15030321)	10.3390/antibiotics15030321
worklist	10.1038/s41598-026-42733-3)	10.1038/s41598-026-42733-3
worklist	10.1007/s12010-025-05497-6)	10.1007/s12010-025-05497-6
worklist	10.1038/s41598-026-38001-z)	10.1038/s41598-026-38001-z
worklist	10.3390/molecules31030405)	10.3390/molecules31030405
worklist	10.19136/era.a13n1.4537)	10.19136/era.a13n1.4537
worklist	10.1038/s41598-026-36393-6)	10.1038/s41598-026-36393-6
worklist	10.1039/d6ra00117c_v2_review1)	10.1039/d6ra00117c/v2_review1
worklist	10.1039/d5ra06511a)	10.1039/d5ra06511a
worklist	10.3389/fmicb.2026.1774713)	10.3389/fmicb.2026.1774713
worklist	10.1039/d5ra08809g)	10.1039/d5ra08809g
worklist	10.3389/fmicb.2026.1777863)	10.3389/fmicb.2026.1777863
worklist	10.7717/peerj.18722)	10.7717/peerj.18722
worklist	10.14202/vetworld.2024.2725-2730)	10.14202/vetworld.2024.2725-2730
worklist	10.1515/biol-2022-0927)	10.1515/biol-2022-0927
worklist	10.1186/s13568-024-01701-8)	10.1186/s13568-024-01701-8
worklist	10.2147/dddt.s511271)	10.2147/dddt.s511271
worklist	10.1038/s41564-025-02114-4)	10.1038/s41564-025-02114-4
worklist	10.1038/s41598-025-06228-x)	10.1038/s41598-025-06228-x
worklist	10.1038/s41598-025-19875-x)	10.1038/s41598-025-19875-x
worklist	10.1038/s41598-025-24762-6)	10.1038/s41598-025-24762-6
worklist	10.1186/s13568-025-01938-x)	10.1186/s13568-025-01938-x
worklist	10.3390/antibiotics14070632)	10.3390/antibiotics14070632
worklist	10.1186/s12866-025-04354-0)	10.1186/s12866-025-04354-0
worklist	10.7759/cureus.92917)	10.7759/cureus.92917
worklist	10.1186/s13287-025-04138-3)	10.1186/s13287-025-04138-3
worklist	10.1186/s12866-025-03906-8)	10.1186/s12866-025-03906-8
worklist	10.3389/fmed.2025.1664265)	10.3389/fmed.2025.1664265
worklist	10.1186/s12893-025-03225-9)	10.1186/s12893-025-03225-9
worklist	10.1038/s41467-025-62604-1)	10.1038/s41467-025-62604-1
worklist	10.1172/jci185430)	10.1172/jci185430
worklist	10.1002/ange.202501299)	10.1002/ange.202501299
worklist	10.1128/spectrum.01848-25)	10.1128/spectrum.01848-25
worklist	10.3390/antibiotics14121258)	10.3390/antibiotics14121258
worklist	10.2147/idr.s562024)	10.2147/idr.s562024
worklist	10.1038/s41598-025-18623-5)	10.1038/s41598-025-18623-5
worklist	10.1038/s41598-025-12550-1)	10.1038/s41598-025-12550-1
worklist	10.1007/s00253-025-13631-x)	10.1007/s00253-025-13631-x
worklist	10.1101/2025.08.01.668193)	10.1101/2025.08.01.668193
worklist	10.1007/s13205-025-04475-3)	10.1007/s13205-025-04475-3
worklist	10.1007/s00726-025-03458-1)	10.1007/s00726-025-03458-1
worklist	10.2147/idr.s552862)	10.2147/idr.s552862
worklist	10.1038/s41598-025-27050-5)	10.1038/s41598-025-27050-5
worklist	10.3390/microorganisms13092076)	10.3390/microorganisms13092076
worklist	10.7150/thno.110538)	10.7150/thno.110538
worklist	10.1186/s12890-025-03958-6)	10.1186/s12890-025-03958-6
worklist	10.2147/idr.s573970)	10.2147/idr.s573970
worklist	10.3389/fphar.2025.1679268)	10.3389/fphar.2025.1679268
worklist	10.3389/fmicb.2025.1754398)	10.3389/fmicb.2025.1754398
worklist	10.3389/fchem.2025.1636763)	10.3389/fchem.2025.1636763
worklist	10.1007/s10856-025-06983-3)	10.1007/s10856-025-06983-3
worklist	10.5194/jbji-10-561-2025)	10.5194/jbji-10-561-2025
worklist	10.1038/s41598-025-24924-6)	10.1038/s41598-025-24924-6
worklist	10.1186/s11671-024-04140-3)	10.1186/s11671-024-04140-3
worklist	10.1038/s41598-025-22965-5)	10.1038/s41598-025-22965-5
worklist	10.1038/s41598-025-20756-6)	10.1038/s41598-025-20756-6
worklist	10.1186/s13567-024-01428-1)	10.1186/s13567-024-01428-1
worklist	10.4014/jmb.2507.07004)	10.4014/jmb.2507.07004
worklist	10.1038/s41598-025-08454-9)	10.1038/s41598-025-08454-9
worklist	10.3390/books978-3-7258-5308-3)	10.3390/books978-3-7258-5308-3
worklist	10.1039/d4dt02844a)	10.1039/d4dt02844a
worklist	10.1186/s12917-025-04617-y)	10.1186/s12917-025-04617-y
worklist	10.3390/pathogens14121216)	10.3390/pathogens14121216
worklist	10.1038/s41598-025-30054-w)	10.1038/s41598-025-30054-w
worklist	10.1038/s41598-025-28876-9)	10.1038/s41598-025-28876-9
worklist	10.1039/d5ra05169j)	10.1039/d5ra05169j
worklist	10.1038/s41598-025-12736-7)	10.1038/s41598-025-12736-7
worklist	10.1038/s41598-025-19561-y)	10.1038/s41598-025-19561-y
worklist	10.3389/fmicb.2025.1645341)	10.3389/fmicb.2025.1645341
worklist	10.1186/s12951-025-03601-w)	10.1186/s12951-025-03601-w
worklist	10.21203/rs.3.rs-6261550_v1)	10.21203/rs.3.rs-6261550/v1
worklist	10.1038/s41598-025-18872-4)	10.1038/s41598-025-18872-4
worklist	10.1186/s12906-025-05108-1)	10.1186/s12906-025-05108-1
worklist	10.21203/rs.3.rs-5631852_v1)	10.21203/rs.3.rs-5631852/v1
worklist	10.1038/s41598-025-20360-8)	10.1038/s41598-025-20360-8
worklist	10.2147/nsa.s548941)	10.2147/nsa.s548941
worklist	10.1186/s12906-025-05057-9)	10.1186/s12906-025-05057-9
worklist	10.1038/s41598-025-30978-3)	10.1038/s41598-025-30978-3
worklist	10.1016/j.fbio.2025.107624)	10.1016/j.fbio.2025.107624
worklist	10.1039/d5ra02745d)	10.1039/d5ra02745d
worklist	10.1038/s41598-025-98330-3)	10.1038/s41598-025-98330-3
worklist	10.21203/rs.3.rs-7306037_v1)	10.21203/rs.3.rs-7306037/v1
worklist	10.1007/s00726-025-03477-y)	10.1007/s00726-025-03477-y
worklist	10.1111/acel.70161)	10.1111/acel.70161
worklist	10.1038/s41598-025-18609-3)	10.1038/s41598-025-18609-3
worklist	10.1038/s41598-025-33436-2)	10.1038/s41598-025-33436-2
worklist	10.3389/fcimb.2025.1552872)	10.3389/fcimb.2025.1552872
worklist	10.1038/s41598-025-19694-0)	10.1038/s41598-025-19694-0
worklist	10.1111/1751-7915.70275)	10.1111/1751-7915.70275
worklist	10.1039/d5ra07708g)	10.1039/d5ra07708g
worklist	10.1021/acschembio.5c00632)	10.1021/acschembio.5c00632
worklist	10.2147/jep.s530376)	10.2147/jep.s530376
worklist	10.1038/s41598-025-27847-4)	10.1038/s41598-025-27847-4
worklist	10.1038/s41598-025-23064-1)	10.1038/s41598-025-23064-1
worklist	10.1016/j.xgen.2025.100983)	10.1016/j.xgen.2025.100983
worklist	10.1186/s42238-025-00336-1)	10.1186/s42238-025-00336-1
worklist	10.3389/fmicb.2025.1713216)	10.3389/fmicb.2025.1713216
worklist	10.1099/jmm.0.002030)	10.1099/jmm.0.002030
worklist	10.1038/s41598-025-07358-y)	10.1038/s41598-025-07358-y
worklist	10.1016/j.psj.2025.105917)	10.1016/j.psj.2025.105917
worklist	10.3389/fmicb.2025.1569719)	10.3389/fmicb.2025.1569719
worklist	10.3390/vetsci12080691)	10.3390/vetsci12080691
worklist	10.3389/fpls.2025.1717793)	10.3389/fpls.2025.1717793
worklist	10.2147/idr.s531926)	10.2147/idr.s531926
worklist	10.1039/d5sc06369h)	10.1039/d5sc06369h
worklist	10.1038/s41598-026-37665-x)	10.1038/s41598-026-37665-x
worklist	10.21203/rs.3.rs-8929596_v1)	10.21203/rs.3.rs-8929596/v1
worklist	10.3390/vetsci13010070)	10.3390/vetsci13010070
worklist	10.3389/fnut.2026.1764021)	10.3389/fnut.2026.1764021
worklist	10.1038/s41598-026-38590-9)	10.1038/s41598-026-38590-9
worklist	10.1038/s41467-026-69967-z)	10.1038/s41467-026-69967-z
worklist	10.3390/pharmaceutics18030350)	10.3390/pharmaceutics18030350
worklist	10.1007/s11259-026-11142-2)	10.1007/s11259-026-11142-2
worklist	10.3389/fvets.2026.1761682)	10.3389/fvets.2026.1761682
worklist	10.1038/s41598-026-39148-5)	10.1038/s41598-026-39148-5
worklist	10.1038/s41598-025-33484-8)	10.1038/s41598-025-33484-8
worklist	10.56975/jetir.v13i2.576370)	10.56975/jetir.v13i2.576370
worklist	10.1038/s41467-026-68495-0)	10.1038/s41467-026-68495-0
worklist	10.1039/d6ta00399k_v1_review1)	10.1039/d6ta00399k/v1_review1
worklist	10.1186/s12929-025-01207-w)	10.1186/s12929-025-01207-w
worklist	10.1039/d5ra08618c)	10.1039/d5ra08618c
worklist	10.1186/s11671-026-04500-1)	10.1186/s11671-026-04500-1
worklist	10.1038/s41598-025-31706-7)	10.1038/s41598-025-31706-7
worklist	10.1007/s11130-026-01478-0)	10.1007/s11130-026-01478-0
worklist	10.1093/femsyr_foag007)	10.1093/femsyr/foag007
worklist	10.1007/s44445-026-00121-7)	10.1007/s44445-026-00121-7
worklist	10.1038/s41598-026-39607-z)	10.1038/s41598-026-39607-z
worklist	10.1021/acsomega.5c11601)	10.1021/acsomega.5c11601
worklist	10.1038/s41598-025-34848-w)	10.1038/s41598-025-34848-w
worklist	10.3390/medicina62010218)	10.3390/medicina62010218
worklist	10.1155/ijm_1969553)	10.1155/ijm/1969553
worklist	10.1186/s12866-024-03325-1)	10.1186/s12866-024-03325-1
worklist	10.3390/antibiotics13121113)	10.3390/antibiotics13121113
worklist	10.1039/d5ra03481g)	10.1039/d5ra03481g
worklist	10.1038/s41598-025-04901-9)	10.1038/s41598-025-04901-9
worklist	10.3389/fmicb.2025.1676135)	10.3389/fmicb.2025.1676135
worklist	10.3389/fmicb.2025.1604820)	10.3389/fmicb.2025.1604820
worklist	10.3389/fmicb.2025.1728482)	10.3389/fmicb.2025.1728482
worklist	10.1039/d5ra07917a)	10.1039/d5ra07917a
worklist	10.1186/s12903-025-06217-6)	10.1186/s12903-025-06217-6
worklist	10.1038/s41598-025-32173-w)	10.1038/s41598-025-32173-w
worklist	10.21203/rs.3.rs-7957853_v1)	10.21203/rs.3.rs-7957853/v1
worklist	10.1186/s13568-025-01942-1)	10.1186/s13568-025-01942-1
worklist	10.1186/s12985-025-03001-4)	10.1186/s12985-025-03001-4
worklist	10.3390/microorganisms13122738)	10.3390/microorganisms13122738
worklist	10.1038/s41598-024-80440-z)	10.1038/s41598-024-80440-z
worklist	10.3389/fmicb.2025.1619416)	10.3389/fmicb.2025.1619416
worklist	10.1186/s13568-025-01947-w)	10.1186/s13568-025-01947-w
worklist	10.5455/ovj.2025.v15.i8.41)	10.5455/ovj.2025.v15.i8.41
worklist	10.7717/peerj.19735)	10.7717/peerj.19735
worklist	10.1038/s41598-025-26744-0)	10.1038/s41598-025-26744-0
worklist	10.1038/s41419-025-08044-7)	10.1038/s41419-025-08044-7
worklist	10.1186/s13568-025-01912-7)	10.1186/s13568-025-01912-7
worklist	10.1038/s41522-025-00852-1)	10.1038/s41522-025-00852-1
worklist	10.3390/biom15070966)	10.3390/biom15070966
worklist	10.1080/20002297.2025.2561213)	10.1080/20002297.2025.2561213
worklist	10.1371/journal.pone.0331440)	10.1371/journal.pone.0331440
worklist	10.3389/fimmu.2025.1708169)	10.3389/fimmu.2025.1708169
worklist	10.1007/s11259-025-11000-7)	10.1007/s11259-025-11000-7
worklist	10.3390/plants15010115)	10.3390/plants15010115
worklist	10.1039/d5ra04814a)	10.1039/d5ra04814a
worklist	10.1038/s41598-025-89450-x)	10.1038/s41598-025-89450-x
worklist	10.3389/fbioe.2025.1624106)	10.3389/fbioe.2025.1624106
worklist	10.1021/acsomega.5c01067)	10.1021/acsomega.5c01067
worklist	10.1038/s41598-025-03832-9)	10.1038/s41598-025-03832-9
worklist	10.3390/pharmaceutics17121557)	10.3390/pharmaceutics17121557
worklist	10.3389/fmicb.2025.1569217)	10.3389/fmicb.2025.1569217
worklist	10.1128/spectrum.00825-25)	10.1128/spectrum.00825-25
worklist	10.3389/fcimb.2025.1707694)	10.3389/fcimb.2025.1707694
worklist	10.3390/antibiotics14100960)	10.3390/antibiotics14100960
worklist	10.1016/j.psj.2025.106000)	10.1016/j.psj.2025.106000
worklist	10.1038/s41598-025-23539-1)	10.1038/s41598-025-23539-1
worklist	10.1371/journal.pone.0331669)	10.1371/journal.pone.0331669
worklist	10.3389/fcimb.2025.1616501)	10.3389/fcimb.2025.1616501
worklist	10.1186/s12896-025-01052-7)	10.1186/s12896-025-01052-7
worklist	10.1039/d5ra04198h)	10.1039/d5ra04198h
worklist	10.1038/s42003-025-09348-2)	10.1038/s42003-025-09348-2
worklist	10.3389/fbioe.2026.1751442)	10.3389/fbioe.2026.1751442
worklist	10.1038/s41598-025-34709-6)	10.1038/s41598-025-34709-6
worklist	10.1007/s10123-026-00783-7)	10.1007/s10123-026-00783-7
worklist	10.1007/s00345-026-06333-0)	10.1007/s00345-026-06333-0
worklist	10.1038/s41598-026-41503-5)	10.1038/s41598-026-41503-5
worklist	10.7150/thno.126844)	10.7150/thno.126844
worklist	10.3389/fmicb.2026.1783760)	10.3389/fmicb.2026.1783760
worklist	10.1039/d5ra09260d)	10.1039/d5ra09260d
worklist	10.1038/s41598-025-30539-8)	10.1038/s41598-025-30539-8
worklist	10.33073/pjm-2026-003)	10.33073/pjm-2026-003
worklist	10.1186/s12951-026-04052-7)	10.1186/s12951-026-04052-7
worklist	10.3390/antibiotics15010077)	10.3390/antibiotics15010077
worklist	10.3389/fmicb.2026.1786444)	10.3389/fmicb.2026.1786444
worklist	10.1186/s40643-026-01011-w)	10.1186/s40643-026-01011-w
worklist	10.3389/fmicb.2026.1800825)	10.3389/fmicb.2026.1800825
worklist	10.3892/br.2026.2117)	10.3892/br.2026.2117
worklist	10.3389/fsurg.2026.1739629)	10.3389/fsurg.2026.1739629
worklist	10.1038/s41598-026-38203-5)	10.1038/s41598-026-38203-5
worklist	10.1038/s41598-026-37714-5)	10.1038/s41598-026-37714-5
worklist	10.1007/s42770-026-01883-2)	10.1007/s42770-026-01883-2
worklist	10.3390/antiox15030274)	10.3390/antiox15030274
worklist	10.1039/d6ra00724d)	10.1039/d6ra00724d
worklist	10.1038/s41598-025-32900-3)	10.1038/s41598-025-32900-3
worklist	10.1039/d5ra10074g)	10.1039/d5ra10074g
worklist	10.1111/apm.70167)	10.1111/apm.70167
worklist	10.1039/d5ra09816e)	10.1039/d5ra09816e
worklist	10.21203/rs.3.rs-8660214_v1)	10.21203/rs.3.rs-8660214/v1
worklist	10.1039/d5ra09320a)	10.1039/d5ra09320a
worklist	10.1007/s42770-026-01898-9)	10.1007/s42770-026-01898-9
worklist	10.1038/s41598-026-37682-w)	10.1038/s41598-026-37682-w
worklist	10.1039/d5ra08848h)	10.1039/d5ra08848h
worklist	10.1007/s00253-026-13727-y)	10.1007/s00253-026-13727-y
worklist	10.3389/fmicb.2026.1779848)	10.3389/fmicb.2026.1779848
worklist	10.1039/d5ra07099f)	10.1039/d5ra07099f
worklist	10.1039/d5na00787a)	10.1039/d5na00787a
worklist	10.1039/d5ra09845a)	10.1039/d5ra09845a
worklist	10.3390/pathogens15030274)	10.3390/pathogens15030274
worklist	10.3389/fphar.2026.1734075)	10.3389/fphar.2026.1734075
worklist	10.1039/d6ra00442c)	10.1039/d6ra00442c
worklist	10.1039/d6ra00644b)	10.1039/d6ra00644b
worklist	10.1007/s00705-026-06527-2)	10.1007/s00705-026-06527-2
worklist	10.3389/fmicb.2026.1758802)	10.3389/fmicb.2026.1758802
worklist	10.1039/d5ra06488k)	10.1039/d5ra06488k
worklist	10.3390/ijms27062529)	10.3390/ijms27062529
worklist	10.3390/molecules31050844)	10.3390/molecules31050844
worklist	10.1038/s41598-026-42389-z)	10.1038/s41598-026-42389-z
worklist	10.1007/s13205-026-04754-7)	10.1007/s13205-026-04754-7
worklist	10.14202/vetworld.2026.745-759)	10.14202/vetworld.2026.745-759
worklist	10.1039/d6ra00999a)	10.1039/d6ra00999a
worklist	10.1038/s41598-025-28621-2)	10.1038/s41598-025-28621-2
worklist	10.1002/smll.202506893)	10.1002/smll.202506893
worklist	10.1038/s41598-025-16109-y)	10.1038/s41598-025-16109-y
worklist	10.4014/jmb.2502.02011)	10.4014/jmb.2502.02011
worklist	10.1039/d5ra07686b)	10.1039/d5ra07686b
worklist	10.37090/14f8qw67)	10.37090/14f8qw67
worklist	10.1186/s12906-025-05148-7)	10.1186/s12906-025-05148-7
worklist	10.3390/nano15171318)	10.3390/nano15171318
worklist	10.1038/s41598-025-21755-3)	10.1038/s41598-025-21755-3
worklist	10.1186/s12866-025-04265-0)	10.1186/s12866-025-04265-0
worklist	10.1038/s41598-025-26960-8)	10.1038/s41598-025-26960-8
worklist	10.3389/fcimb.2025.1678489)	10.3389/fcimb.2025.1678489
worklist	10.3389/fmicb.2025.1640392)	10.3389/fmicb.2025.1640392
worklist	10.3390/ph18121868)	10.3390/ph18121868
worklist	10.1038/s41598-025-30720-z)	10.1038/s41598-025-30720-z
worklist	10.1039/d5na00621j)	10.1039/d5na00621j
worklist	10.7853/kjvs.2025.48.1.55)	10.7853/kjvs.2025.48.1.55
worklist	10.1038/s41598-025-27272-7)	10.1038/s41598-025-27272-7
worklist	10.1186/s13568-025-01977-4)	10.1186/s13568-025-01977-4
worklist	10.1007/s00253-025-13635-7)	10.1007/s00253-025-13635-7
worklist	10.3389/fmicb.2025.1625659)	10.3389/fmicb.2025.1625659
worklist	10.1038/s41598-025-15260-w)	10.1038/s41598-025-15260-w
worklist	10.1038/s41598-025-21192-2)	10.1038/s41598-025-21192-2
worklist	10.1038/s41598-025-30276-y)	10.1038/s41598-025-30276-y
worklist	10.1007/s11274-025-04533-1)	10.1007/s11274-025-04533-1
worklist	10.3389/fmicb.2025.1658320)	10.3389/fmicb.2025.1658320
worklist	10.1007/s12602-025-10483-9)	10.1007/s12602-025-10483-9
worklist	10.1186/s12906-025-05147-8)	10.1186/s12906-025-05147-8
worklist	10.1038/s41598-025-15558-9)	10.1038/s41598-025-15558-9
worklist	10.1038/s41598-025-01062-7)	10.1038/s41598-025-01062-7
worklist	10.1186/s13099-025-00718-z)	10.1186/s13099-025-00718-z
worklist	10.1038/s41598-025-29075-2)	10.1038/s41598-025-29075-2
worklist	10.1039/d5ra03971a)	10.1039/d5ra03971a
worklist	10.3389/fphar.2025.1530043)	10.3389/fphar.2025.1530043
worklist	10.1038/s41598-025-13384-7)	10.1038/s41598-025-13384-7
worklist	10.1038/s41598-025-17002-4)	10.1038/s41598-025-17002-4
worklist	10.3389/fnut.2025.1624539)	10.3389/fnut.2025.1624539
worklist	10.1186/s12866-025-04382-w)	10.1186/s12866-025-04382-w
worklist	10.21203/rs.3.rs-7542671_v1)	10.21203/rs.3.rs-7542671/v1
worklist	10.3762/bjnano.16.145)	10.3762/bjnano.16.145
worklist	10.1038/s41598-025-27644-z)	10.1038/s41598-025-27644-z
worklist	10.1186/s12870-025-07684-3)	10.1186/s12870-025-07684-3
worklist	10.1038/s41598-025-30573-6)	10.1038/s41598-025-30573-6
worklist	10.3389/fchem.2025.1627543)	10.3389/fchem.2025.1627543
worklist	10.1038/s41598-025-16485-5)	10.1038/s41598-025-16485-5
worklist	10.1038/s41598-025-29501-5)	10.1038/s41598-025-29501-5
worklist	10.3390/ijerph22111725)	10.3390/ijerph22111725
worklist	10.4102/ajlm.v14i1.2895)	10.4102/ajlm.v14i1.2895
worklist	10.1007/s00203-025-04640-5)	10.1007/s00203-025-04640-5
worklist	10.2478/jvetres-2026-0005)	10.2478/jvetres-2026-0005
worklist	10.1038/s42003-026-09739-z)	10.1038/s42003-026-09739-z
worklist	10.21873/invivo.14245)	10.21873/invivo.14245
worklist	10.1038/s41598-026-36976-3)	10.1038/s41598-026-36976-3
worklist	10.3389/fmicb.2026.1758540)	10.3389/fmicb.2026.1758540
worklist	10.3389/fmicb.2026.1771100)	10.3389/fmicb.2026.1771100
worklist	10.1007/s10482-026-02260-7)	10.1007/s10482-026-02260-7
worklist	10.1186/s12866-026-04819-w)	10.1186/s12866-026-04819-w
worklist	10.7759/cureus.104772)	10.7759/cureus.104772
worklist	10.1039/d6ra00680a)	10.1039/d6ra00680a
worklist	10.1038/s41598-025-34899-z)	10.1038/s41598-025-34899-z
worklist	10.1186/s11671-026-04489-7)	10.1186/s11671-026-04489-7
worklist	10.1186/s13054-026-05884-3)	10.1186/s13054-026-05884-3
worklist	10.1038/s41598-026-39547-8)	10.1038/s41598-026-39547-8
worklist	10.2147/ijn.s565719)	10.2147/ijn.s565719
worklist	10.1039/d6ra01488g)	10.1039/d6ra01488g
worklist	10.2147/idr.s598477)	10.2147/idr.s598477
worklist	10.2478/jvetres-2026-0017)	10.2478/jvetres-2026-0017
worklist	10.3389/fmicb.2026.1763675)	10.3389/fmicb.2026.1763675
worklist	10.1007/s00253-026-13771-8)	10.1007/s00253-026-13771-8
worklist	10.4014/jmb.2601.01065)	10.4014/jmb.2601.01065
worklist	10.3389/fcimb.2026.1768480)	10.3389/fcimb.2026.1768480
worklist	10.1038/s41598-026-42070-5)	10.1038/s41598-026-42070-5
worklist	10.2147/idr.s571281)	10.2147/idr.s571281
worklist	10.3389/fmicb.2026.1782549)	10.3389/fmicb.2026.1782549
worklist	10.1007/s00253-026-13738-9)	10.1007/s00253-026-13738-9
worklist	10.1292/jvms.25-0260)	10.1292/jvms.25-0260
worklist	10.1039/d5ra08511j)	10.1039/d5ra08511j
worklist	10.1007/s44463-025-00013-0)	10.1007/s44463-025-00013-0
worklist	10.1038/s41598-026-40885-w)	10.1038/s41598-026-40885-w
worklist	10.1186/s11671-026-04518-5)	10.1186/s11671-026-04518-5
worklist	10.3389/fchem.2026.1753350)	10.3389/fchem.2026.1753350
worklist	10.1038/s41598-026-41092-3)	10.1038/s41598-026-41092-3
worklist	10.1038/s41598-026-40844-5)	10.1038/s41598-026-40844-5
