paper_id	peptide	sequence	endpoint	value	unit	target	assay_medium	inoculum	modification	verdict	evidence	qa_flags
PMC13054752	Ent55	None	growth inhibition activity	no inhibitory effect	None	methicillin-resistant Staphylococcus aureus strains	BHIA overlaid with 0.7% BHIA	200 uL of 18-h MRSA culture, OD600 1.0, 12.0 x 10^8 CFU/mL	none	codex_1	text/Fig. 2	value_without_digit;qualitative_value;missing_sequence;missing_or_literal_none_unit;negative_activity_claim
PMC13054752	Ent4231	None	growth inhibition activity	no inhibitory effect	None	methicillin-resistant Staphylococcus aureus strains	BHIA overlaid with 0.7% BHIA	200 uL of 18-h MRSA culture, OD600 1.0, 12.0 x 10^8 CFU/mL	none	codex_1	text/Fig. 2	value_without_digit;qualitative_value;missing_sequence;missing_or_literal_none_unit;negative_activity_claim
PMC13054752	EM41/3	None	growth inhibition activity	no inhibitory effect	None	methicillin-resistant Staphylococcus aureus strains	BHIA overlaid with 0.7% BHIA	200 uL of 18-h MRSA culture, OD600 1.0, 12.0 x 10^8 CFU/mL	none	codex_1	text/Fig. 2	value_without_digit;qualitative_value;missing_sequence;missing_or_literal_none_unit;negative_activity_claim
PMC13054752	L.l MK 2/81	None	growth inhibition activity	100-200	AU/mL	methicillin-resistant Staphylococcus aureus strains	BHIA overlaid with 0.7% BHIA	200 uL of 18-h MRSA culture, OD600 1.0, 12.0 x 10^8 CFU/mL	none	codex_1	text/Fig. 2	missing_sequence
PMC13054752	L.l MK 2/21	None	growth inhibition activity	100-200	AU/mL	methicillin-resistant Staphylococcus aureus strains	BHIA overlaid with 0.7% BHIA	200 uL of 18-h MRSA culture, OD600 1.0, 12.0 x 10^8 CFU/mL	none	codex_1	text/Fig. 2	missing_sequence
PMC13054752	L.l MK 2/71	None	growth inhibition activity	100-200	AU/mL	methicillin-resistant Staphylococcus aureus strains	BHIA overlaid with 0.7% BHIA	200 uL of 18-h MRSA culture, OD600 1.0, 12.0 x 10^8 CFU/mL	none	codex_1	text/Fig. 2	missing_sequence
PMC11674141	PE02-1	None	MIC	>2500	ug/ml	Acinetobacter baumannii ATCC19606	Mueller-Hinton broth	1 x 10^5 CFU/ml	none	codex_x2	Table 1	missing_sequence
PMC11674141	PIN02	None	MIC	>5000	ug/ml	Acinetobacter baumannii ATCC19606	Mueller-Hinton broth	1 x 10^5 CFU/ml	none	codex_x2	Table 1	missing_sequence
PMC11674141	PTL02	None	MIC	5000	ug/ml	Acinetobacter baumannii ATCC19606	Mueller-Hinton broth	1 x 10^5 CFU/ml	none	codex_x2	Table 1	missing_sequence
PMC11674141	PSTF02	None	MIC	>5000	ug/ml	Acinetobacter baumannii ATCC19606	Mueller-Hinton broth	1 x 10^5 CFU/ml	none	codex_x2	Table 1	missing_sequence
PMC11674141	PE02-2	None	MIC	1250	ug/ml	Acinetobacter baumannii ATCC19606	Mueller-Hinton broth	1 x 10^5 CFU/ml	none	codex_x2	Table 1	missing_sequence
PMC11674141	PTTPAT04	None	MIC	2500	ug/ml	Acinetobacter baumannii ATCC19606	Mueller-Hinton broth	1 x 10^5 CFU/ml	none	codex_x2	Table 1	missing_sequence
PMC11674141	PE04-1	None	MIC	312.5	ug/ml	Acinetobacter baumannii ATCC19606	Mueller-Hinton broth	1 x 10^5 CFU/ml	none	codex_x2	Table 1	missing_sequence
PMC11674141	PE04-1(NH2)	None	MIC	156.25	ug/ml	Acinetobacter baumannii ATCC19606	Mueller-Hinton broth	1 x 10^5 CFU/ml	amidation	codex_x2	Table 1	missing_sequence
PMC11674141	PE04-2	None	MIC	156.25	ug/ml	Acinetobacter baumannii ATCC19606	Mueller-Hinton broth	1 x 10^5 CFU/ml	none	codex_x2	Table 1	missing_sequence
PMC11674141	PE04-1	None	IC50	1440	ug/ml	HepG2 cell line	DMEM with 10% FBS, 100 U/ml penicillin, 100 ug/ml streptomycin	1 x 10^4 cells/well	none	codex_1	text; Cytotoxicity effects of phage-encoded peptides to human hepatoma cell lines	missing_sequence
PMC11674141	PE04-1(NH2)	None	IC50	525.6	ug/ml	HepG2 cell line	DMEM with 10% FBS, 100 U/ml penicillin, 100 ug/ml streptomycin	1 x 10^4 cells/well	amidation	codex_1	text; Cytotoxicity effects of phage-encoded peptides to human hepatoma cell lines	missing_sequence
PMC11674141	PE04-2	None	IC50	424.1	ug/ml	HepG2 cell line	DMEM with 10% FBS, 100 U/ml penicillin, 100 ug/ml streptomycin	1 x 10^4 cells/well	none	codex_1	text; Cytotoxicity effects of phage-encoded peptides to human hepatoma cell lines	missing_sequence
