hardcase recovery: todo=263/283 | lanes=16
  ✓ doi__10.1038_nature04332 [pdf]: 0 extracted
  ✓ doi__10.1038_nature06341 [pdf]: 0 extracted
  ✓ doi__10.1021_acschembio.9b00593 [pdf]: 0 extracted
  ✓ doi__10.1038_nature01597 [pdf]: 0 extracted
  ✓ doi__10.1038_nature10093 [pdf]: 0 extracted
  ✓ doi__10.1038_nm1638 [pdf]: 0 extracted
  ✓ doi__10.1038_nature18634 [pdf]: 0 extracted
  ✓ doi__10.1038_s41429-018-0086-3 [pdf]: 0 extracted
  ✓ doi__10.1038_s41429-023-00597-z [pdf]: 0 extracted
  ✓ doi__10.1038_nsmb830 [pdf]: 0 extracted
  ✓ doi__10.1038_s41551-021-00801-1 [pdf]: 0 extracted
  ✓ doi__10.1038_nchembio.2319 [pdf]: 6 extracted
  ✓ doi__10.1038_nrd4510 [pdf]: 0 extracted
  ✓ doi__10.1038_s41587-022-01226-0 [pdf]: 0 extracted
  ✓ doi__10.1038_s41429-018-0090-7 [pdf]: 17 extracted
  ✓ doi__10.1038_s41586-021-04264-x [pdf]: 0 extracted
  ✓ doi__10.1039_c3ra42599a [pdf]: 0 extracted
  ✓ doi__10.1007_s00018-021-04041-z [pdf]: 0 extracted
  ✓ doi__10.1039_c5ob01269d [pdf]: 0 extracted
  ✓ doi__10.1039_c9md00166b [pdf]: 0 extracted
  ✓ doi__10.1038_s41429-018-0044-0 [pdf]: 4 extracted
  ✓ doi__10.1038_nature05233 [pdf]: 0 extracted
  ✓ doi__10.1039_c4ob00673a [pdf]: 0 extracted
  ✓ doi__10.1039_c3ob41659c [pdf]: 0 extracted
  ✓ doi__10.1039_c3cc38977d [pdf]: 0 extracted
  ✓ doi__10.1038_ncomms4154 [pdf]: 0 extracted
  ✓ doi__10.1038_ncomms1952 [pdf]: 0 extracted
  ✓ doi__10.1038_nchembio.1710 [pdf]: 14 extracted
  ✓ doi__10.1097_00002030-199302000-00010 [pdf]: 0 extracted
  ✓ doi__10.1097_00005373-199904000-00018 [pdf]: 0 extracted
  ✓ doi__10.1097_01.ta.0000047047.79701.6d [pdf]: 0 extracted
  ✓ doi__10.1093_embo-reports_kvd073 [pdf]: 0 extracted
  ✓ doi__10.1073_pnas.0607117103 [pdf]: 0 extracted
  ✓ doi__10.1038_s41429-018-0032-4 [pdf]: 0 extracted
  ✓ doi__10.1093_abbs_36.4.297 [pdf]: 0 extracted
  ✓ doi__10.1097_cad.0000000000000111 [pdf]: 0 extracted
  ✓ doi__10.1097_ta.0000000000003183 [pdf]: 0 extracted
  ✓ doi__10.1097_shk.0b013e31817fd62a [pdf]: 0 extracted
  ✓ doi__10.1038_s41551-022-00991-2 [pdf]: 0 extracted
  ✓ doi__10.1101_gr.1515604 [pdf]: 0 extracted
  ✓ doi__10.1101_gr.2596504 [pdf]: 0 extracted
  ✓ doi__10.1101_gr.1293003 [pdf]: 0 extracted
  ✓ doi__10.1101_gr.5798407 [pdf]: 0 extracted
  ✓ doi__10.1101_gr.223902 [pdf]: 0 extracted
  ✓ doi__10.1101_gr.1946304 [pdf]: 0 extracted
  ✓ doi__10.1172_jci112121 [pdf]: 0 extracted
  ✓ doi__10.1039_d1md00091h [pdf]: 0 extracted
  ✓ doi__10.1101_gr.3869505 [pdf]: 0 extracted
  ✓ doi__10.1101_gr.6004607 [pdf]: 0 extracted
  ✓ doi__10.1101_gr.7149808 [pdf]: 0 extracted
  ✓ doi__10.1242_jcs.113.3.461 [pdf]: 0 extracted
  ✓ doi__10.1248_bpb.30.218 [pdf]: 0 extracted
  ✓ doi__10.1101_gr.3003105 [pdf]: 0 extracted
  ✓ doi__10.1111_j.1432-1033.1995.tb20600.x [pdf]: 0 extracted
  ✓ doi__10.1262_jrd.17070 [pdf]: 0 extracted
  ✓ doi__10.1186_1471-2164-13-312 [pdf]: 0 extracted
  ✓ doi__10.1039_c9dt04545g [pdf]: 0 extracted
  ✓ doi__10.1371_journal.pbio.1000112 [pdf]: 0 extracted
  ✓ doi__10.1039_d5dt00562k [pdf]: 17 extracted
  ✓ doi__10.1186_1472-6750-12-10 [pdf]: 6 extracted
  ✓ doi__10.1248_cpb.59.1481 [pdf]: 44 extracted
  ✓ doi__10.1128_jb.186.5.1556-1564.2004 [pdf]: 3 extracted
  ✓ doi__10.1039_d3nr05174a [pdf]: 0 extracted
  ✓ doi__10.1271_kagakutoseibutsu1962.24.677 [pdf]: 0 extracted
  ✓ doi__10.1248_bpb.b20-00799 [pdf]: 0 extracted
  ✓ doi__10.1248_cpb.57.240 [pdf]: 0 extracted
  ✓ doi__10.1515_bchm.1997.378.9.989 [pdf]: 0 extracted
  ✓ doi__10.1515_bchm3.1990.371.1.111 [pdf]: 0 extracted
  ✓ doi__10.1128_aem.01981-20 [pdf]: 0 extracted
  ✓ doi__10.1371_journal.pone.0178943 [pdf]: 0 extracted
  ✓ doi__10.1515_hsz-2019-397ja-01 [pdf]: 0 extracted
  ✓ doi__10.1371_journal.pone.0006788 [pdf]: 8 extracted
  ✓ doi__10.3892_ijmm_00000311 [pdf]: 0 extracted
  ✓ doi__10.3389_fchem.2017.00005 [pdf]: 0 extracted
  ✓ doi__10.1515_bchm3.1995.376.8.507 [pdf]: 0 extracted
  ✓ doi__10.20307_nps.2018.24.4.225 [pdf]: 0 extracted
  ✓ doi__10.1093_abbs_gmx032 [pdf]: 0 extracted
  ✓ doi__10.2220_biomedres.31.71 [pdf]: 0 extracted
  ✓ doi__10.1515_znc-2003-9-1026 [pdf]: 0 extracted
  ✓ doi__10.1177_1535370220966963 [pdf]: 0 extracted
  ✓ doi__10.5603_fhc.a2014.0035 [pdf]: 0 extracted
  ✓ doi__10.1351_pac-con-09-01-12 [pdf]: 0 extracted
  ✓ doi__10.1172_jci3121 [pdf]: 22 extracted
  ✓ doi__10.3892_or.2014.3644 [pdf]: 0 extracted
  ✓ doi__10.7164_antibiotics.34.1126 [pdf]: 0 extracted
  ✓ doi__10.7164_antibiotics.43.1082 [pdf]: 0 extracted
  ✓ doi__10.7164_antibiotics.47.1153 [pdf]: 0 extracted
  ✓ doi__10.7164_antibiotics.48.1515 [pdf]: 0 extracted
  ✓ doi__10.2533_chimia.2024.648 [pdf]: 0 extracted
  ✓ doi__10.5897_ajpp10.384 [pdf]: 0 extracted
  ✓ doi__10.7164_antibiotics.29.366 [pdf]: 15 extracted
  ✓ doi__10.1128_aem.02030-07 [pdf]: 0 extracted
  ✓ doi__10.7164_antibiotics.30.917 [pdf]: 0 extracted
  ✓ doi__10.7164_antibiotics.39.888 [pdf]: 0 extracted
  ✓ doi__10.7164_antibiotics.42.837 [pdf]: 0 extracted
  ✓ doi__10.7164_antibiotics.43.616 [pdf]: 0 extracted
  ✓ doi__10.7164_antibiotics.44.693 [pdf]: 0 extracted
  ✓ doi__10.7164_antibiotics.47.301 [pdf]: 0 extracted
  ✓ doi__10.7164_antibiotics.48.233 [pdf]: 0 extracted
  ✓ doi__10.7164_antibiotics.55.565 [pdf]: 0 extracted
  ✓ doi__10.1007_s00018-004-4461-9 [html]: 0 extracted
  ✓ doi__10.1002_j.1460-2075.1990.tb08098.x [html]: 0 extracted
  ✓ doi__10.1128_aac.45.3.905-912.2001 [pdf]: 0 extracted
  ✓ doi__10.7164_antibiotics.50.220 [pdf]: 0 extracted
  ✓ doi__10.1016_j.bmc.2007.08.007 [html]: 0 extracted
  ✓ doi__10.1016_j.fsi.2019.08.054 [html]: 0 extracted
  ✓ doi__10.7164_antibiotics.52.695 [pdf]: 0 extracted
  ✓ doi__10.7164_antibiotics.52.730 [pdf]: 0 extracted
  ✓ doi__10.1002_adbi.201700259 [html]: 54 extracted
  ✓ doi__10.7164_antibiotics.54.1054 [pdf]: 0 extracted
  ✓ doi__10.1021_acs.jproteome.3c00597 [html]: 0 extracted
  ✓ doi__10.1021_acs.biochem.7b00348 [html]: 22 extracted
  ✓ doi__10.1021_acs.jnatprod.3c00939 [html]: 0 extracted
  ✓ doi__10.7164_antibiotics.54.220 [pdf]: 0 extracted
  ✓ doi__10.1021_acs.jnatprod.5b00540 [html]: 0 extracted
  ✓ doi__10.1021_acsinfecdis.1c00275 [html]: 0 extracted
  ✓ doi__10.1016_j.bmcl.2006.04.029 [html]: 0 extracted
  ✓ doi__10.1016_j.ijantimicag.2012.02.003 [html]: 53 extracted
hardcase recovery: todo=10/283 | lanes=16
  ✓ doi__10.1152_ajprenal.00592.2020 [html]: 0 extracted
  ✓ doi__10.1128_jb.178.8.2232-2237.1996 [html]: 0 extracted
  ✓ doi__10.1128_jvi.76.19.9952-9961.2002 [html]: 0 extracted
  ✓ doi__10.1128_jvi.00796-06 [html]: 0 extracted
  ✓ doi__10.1128_jvi.02433-13 [html]: 0 extracted
  ✓ doi__10.1128_jcm.42.3.1024-1029.2004 [html]: 88 extracted
  ✓ doi__10.5812_ijpr-141920 [html]: 13 extracted
  ✓ doi__10.4014_jmb.1711.11057 [html]: 72 extracted
  ✓ doi__10.1128_aem.02718-06 [html]: 0 extracted
  ✓ doi__10.1128_aem.02264-09 [html]: 0 extracted
done -> /home/cihebi/抗菌肽/数据集/batch/5-team/pipeline_v2/deepmine/hardcases_extracted.tsv
