paper_id,doi,review_status,publication_grade,source_reviewed,public_v1_included,exclusion_reason,database_audit_records,activity_records,mechanism_claims,database_final_exists,activity_final_exists,mechanism_final_exists,review_report_exists
doi__10.1038_s41467-019-10754-4,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,432,334,1,True,True,True,True
doi__10.1038_s41467-023-37003-z,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,55,29,3,True,True,True,True
doi__10.1038_s41467-023-42387-z,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,305,146,3,True,True,True,True
doi__10.1038_s41467-024-51933-2,,needs_targeted_rework,False,True,False,needs_targeted_rework,385,160,3,True,True,True,True
doi__10.1038_s41467-024-53309-y,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,287,236,3,True,True,True,True
doi__10.1038_s41522-024-00637-y,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,57,12,5,True,True,True,True
doi__10.1038_s41551-024-01201-x,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,78,66,3,True,True,True,True
doi__10.1038_s41598-017-01267-5,10.1038/s41598-017-01267-5,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,1,8,5,True,True,True,True
doi__10.1038_s41598-017-11396-6,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,42,21,3,True,True,True,True
doi__10.1038_s41598-017-13685-6,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,423,262,3,True,True,True,True
doi__10.1038_s41598-017-15436-z,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,39,61,3,True,True,True,True
doi__10.1038_s41598-017-16784-6,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,74,161,4,True,True,True,True
doi__10.1038_s41598-018-35530-0,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,44,44,3,True,True,True,True
doi__10.1038_s41598-019-39219-w,10.1038/s41598-019-39219-w,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,457,393,3,True,True,True,True
doi__10.1038_s41598-019-40577-8,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,212,110,4,True,True,True,True
doi__10.1038_s41598-019-54716-8,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,114,111,3,True,True,True,True
doi__10.1038_s41598-020-60570-w,10.1038/s41598-020-60570-w,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,245,276,3,True,True,True,True
doi__10.1038_s41598-020-60829-2,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,18,13,3,True,True,True,True
doi__10.1038_s41598-020-66164-w,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,87,23,3,True,True,True,True
doi__10.1038_s41598-021-81394-2,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,88,42,3,True,True,True,True
doi__10.1038_s41598-022-20236-1,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,255,203,5,True,True,True,True
doi__10.1038_s41598-023-43274-9,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,245,44,3,True,True,True,True
doi__10.1038_s42003-020-0761-3,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,192,160,3,True,True,True,True
doi__10.1038_s42003-022-03899-4,10.1038/s42003-022-03899-4,needs_targeted_rework,False,True,False,needs_targeted_rework,324,165,3,True,True,True,True
doi__10.1038_s42003-022-04164-4,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,477,291,4,True,True,True,True
doi__10.1038_s44259-025-00121-3,10.1038/s44259-025-00121-3,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,465,117,4,True,True,True,True
doi__10.1074_jbc.m109.036459,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,10,1,3,True,True,True,True
doi__10.1093_molbev_msn208,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,9,0,2,True,True,True,True
doi__10.1101_gr.171264.113,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,6,31,3,True,True,True,True
doi__10.1126_science.abf4896,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,9,3,1,True,True,True,True
doi__10.1128_mbio.01935-20,,needs_targeted_rework,False,True,False,needs_targeted_rework,131,13,3,True,True,True,True
doi__10.1128_mbio.02451-20,,needs_targeted_rework,False,True,False,needs_targeted_rework,83,10,1,True,True,True,True
doi__10.1128_spectrum.02013-21,,needs_targeted_rework,False,True,False,needs_targeted_rework,94,48,3,True,True,True,True
doi__10.1186_1471-2164-11-452,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,80,0,2,True,True,True,True
doi__10.1186_1471-2164-5-56,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,95,0,3,True,True,True,True
doi__10.1186_1471-2164-8-119,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,39,0,3,True,True,True,True
doi__10.1186_1471-2164-8-18,10.1186/1471-2164-8-18,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,20,0,1,True,True,True,True
doi__10.1186_1471-2164-9-15,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,6,0,3,True,True,True,True
doi__10.1186_1741-7007-3-20,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,9,0,3,True,True,True,True
doi__10.1186_1743-422x-6-187,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,19,28,3,True,True,True,True
doi__10.1186_gb-2003-4-12-r79,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,9,0,3,True,True,True,True
doi__10.1186_gb-2003-4-5-r31,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,16,0,3,True,True,True,True
doi__10.1186_gb-2004-6-1-r6,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,12,3,0,True,True,True,True
doi__10.1186_s12866-016-0626-6,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,9,30,4,True,True,True,True
doi__10.1186_s12866-016-0799-z,,needs_targeted_rework,False,True,False,needs_targeted_rework,120,100,3,True,True,True,True
doi__10.1186_s12866-022-02621-y,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,21,4,3,True,True,True,True
doi__10.1186_s13568-018-0710-4,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,21,10,2,True,True,True,True
doi__10.1186_s40064-016-1854-9,10.1186/s40064-016-1854-9,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,3,0,2,True,True,True,True
doi__10.1371_journal.pbio.0030038,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,8,0,1,True,True,True,True
doi__10.1371_journal.pgen.1000740,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,8,0,2,True,True,True,True
doi__10.1371_journal.pone.0008926,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,8,3,3,True,True,True,True
doi__10.1371_journal.pone.0030478,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,24,12,2,True,True,True,True
doi__10.1371_journal.pone.0050003,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,48,3,4,True,True,True,True
doi__10.1371_journal.pone.0080050,,needs_targeted_rework,False,True,False,needs_targeted_rework,3,0,3,True,True,True,True
doi__10.1371_journal.pone.0098935,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,86,74,3,True,True,True,True
doi__10.1371_journal.pone.0100670,,needs_targeted_rework,False,True,False,needs_targeted_rework,3,0,3,True,True,True,True
doi__10.1371_journal.pone.0110809,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,3,0,1,True,True,True,True
doi__10.1371_journal.pone.0132701,10.1371/journal.pone.0132701,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,19,68,4,True,True,True,True
doi__10.18632_oncotarget.6794,10.18632/oncotarget.6794,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,173,57,3,True,True,True,True
doi__10.21203_rs.3.rs-3457760_v1,,needs_targeted_rework,False,True,False,needs_targeted_rework,3,0,1,True,True,True,True
doi__10.21203_rs.3.rs-3491947_v1,,needs_targeted_rework,False,True,False,needs_targeted_rework,1,0,1,True,True,True,True
doi__10.21203_rs.3.rs-578319_v1,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,19,36,3,True,True,True,True
doi__10.2174_1381612822666161027120518,10.2174/1381612822666161027120518,needs_targeted_rework,False,True,False,needs_targeted_rework,158,120,4,True,True,True,True
doi__10.3389_fmicb.2021.678330,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,162,72,4,True,True,True,True
doi__10.3389_fphar.2024.1334419,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,14,40,3,True,True,True,True
doi__10.3390_antibiotics11101285,10.3390/antibiotics11101285,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,21,20,3,True,True,True,True
doi__10.3390_antibiotics8010031,10.3390/antibiotics8010031,needs_targeted_rework,False,True,False,needs_targeted_rework,1,0,2,True,True,True,True
doi__10.3390_biom10071014,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,38,12,3,True,True,True,True
doi__10.3390_ijms222111869,,needs_targeted_rework,False,True,False,needs_targeted_rework,36,0,1,True,True,True,True
doi__10.3390_molecules25020257,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,446,568,2,True,True,True,True
doi__10.3390_pharmaceutics14040693,,needs_targeted_rework,False,True,False,needs_targeted_rework,215,340,3,True,True,True,True
doi__10.3390_v11070609,,needs_targeted_rework,False,True,False,needs_targeted_rework,336,0,2,True,True,True,True
doi__10.3390_v13071246,,needs_targeted_rework,False,True,False,needs_targeted_rework,102,0,2,True,True,True,True
doi__10.5713_ajas.18.0571,10.5713/ajas.18.0571,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,2,17,3,True,True,True,True
doi__10.7150_ijbs.76148,10.7150/ijbs.76148,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,9,22,3,True,True,True,True
doi__10.7717_peerj.10176,,needs_targeted_rework,False,True,False,needs_targeted_rework,120,22,3,True,True,True,True
