source_table,status,count
all_sequences.csv,sequence_modified_not_normalized,28
all_sequences.csv,source_conflict,4
all_sequences.csv,source_verified,5
all_sequences.csv + apd6_activity_text_records.csv,sequence_modified_not_normalized,1
all_sequences.csv / APD6 peptides.csv,source_verified,1
all_sequences.csv / apd6_activity_text_records.csv,source_verified,1
all_sequences.csv / dbaasp_assay_records.csv,source_verified,1
all_sequences.csv;apd6_activity_text_records.csv;linked_experiment_records.jsonl,sequence_modified_not_normalized,1
all_sequences.csv;sequence_literature_links.csv,source_verified,1
apd6_activity_text_records.csv,source_conflict,7
apd6_activity_text_records.csv,source_verified,7
apd6_activity_text_records.csv / linked_experiment_records row 21,source_conflict,1
assay_refs.csv,database_only_no_primary_source,374
assay_refs.csv,sequence_modified_not_normalized,665
assay_refs.csv,source_conflict,5015
assay_refs.csv,source_verified,10709
assay_refs.csv mirror via linked_experiment_records.jsonl,source_verified,7
assay_refs.csv; linked_assay_records.jsonl; linked_literature_records.jsonl,sequence_modified_not_normalized,5
camp_activity_text_records.csv / linked_experiment_records row 23,source_conflict,1
camp_r4_export/data/sequences.csv,database_only_no_primary_source,41
camp_r4_export/data/sequences.csv,sequence_modified_not_normalized,21
camp_r4_export/data/sequences.csv,source_conflict,534
camp_r4_export/data/sequences.csv,source_verified,467
camp_r4_export/data/sequences.csv / camp_activity_text_records.csv,source_conflict,1
data/dbamp3_detail_basic.csv,database_only_no_primary_source,84
data/dbamp3_detail_basic.csv,sequence_modified_not_normalized,12
data/dbamp3_detail_basic.csv,source_conflict,401
data/dbamp3_detail_basic.csv,source_verified,321
data/dbamp3_detail_basic.csv / dbamp_activity_text_records.csv,database_only_no_primary_source,1
dbAMP/data/dbamp3_detail_basic.csv,source_conflict,3
dbaasp_assay_records.csv,sequence_modified_not_normalized,1
dbaasp_assay_records.csv,source_verified,1
five_database_sequence_catalog.csv,source_verified,1
general_amps.txt,database_only_no_primary_source,32
general_amps.txt,sequence_modified_not_normalized,62
general_amps.txt,source_conflict,978
general_amps.txt,source_verified,315
general_amps.txt / linked_dramp_activity_records.jsonl,source_conflict,1
general_amps.txt / linked_dramp_activity_records.jsonl,source_verified,2
general_amps.txt; synthetic_amps.txt,source_conflict,7
linked_assay_records,database_only_no_primary_source,2
linked_assay_records,sequence_modified_not_normalized,23
linked_assay_records,source_conflict,98
linked_assay_records,source_verified,393
linked_assay_records.jsonl,database_only_no_primary_source,1469
linked_assay_records.jsonl,sequence_modified_not_normalized,2705
linked_assay_records.jsonl,source_conflict,11820
linked_assay_records.jsonl,source_verified,41538
linked_assay_records.jsonl,unresolved_record,27
linked_assay_records.jsonl + linked_experiment_records.jsonl,source_conflict,1
linked_assay_records.jsonl + linked_experiment_records.jsonl,source_verified,2
linked_database_row,source_conflict,19
linked_database_row,source_verified,8
linked_dramp_activity_records,sequence_modified_not_normalized,1
linked_dramp_activity_records,source_conflict,44
linked_dramp_activity_records,source_verified,9
linked_dramp_activity_records.jsonl,database_only_no_primary_source,19
linked_dramp_activity_records.jsonl,sequence_modified_not_normalized,353
linked_dramp_activity_records.jsonl,source_conflict,958
linked_dramp_activity_records.jsonl,source_verified,377
linked_dramp_activity_records.jsonl + linked_experiment_records.jsonl,source_conflict,1
linked_dramp_activity_records.jsonl + linked_experiment_records.jsonl,source_verified,1
linked_dramp_activity_records.jsonl / DRAMP general_amps.txt,source_conflict,1
linked_dramp_activity_records.jsonl / linked_experiment_records row 22,source_conflict,1
linked_dramp_activity_records.jsonl / stability_amps.txt,source_conflict,1
linked_dramp_activity_records.jsonl::Anti-Gram-_amps.txt,source_verified,1
linked_dramp_activity_records.jsonl::Anti-Gram-positive_amps.txt,source_verified,1
linked_dramp_activity_records.jsonl::Antibacterial_amps.txt,source_verified,1
linked_dramp_activity_records.jsonl::Antimicrobial_amps.txt,source_verified,1
linked_dramp_activity_records.jsonl::general_amps.txt,source_verified,1
linked_experiment_records,database_only_no_primary_source,6
linked_experiment_records,source_conflict,140
linked_experiment_records,source_verified,292
linked_experiment_records.jsonl,database_only_no_primary_source,1766
linked_experiment_records.jsonl,sequence_modified_not_normalized,2104
linked_experiment_records.jsonl,source_conflict,10478
linked_experiment_records.jsonl,source_verified,29785
linked_experiment_records.jsonl,unresolved_record,27
linked_experiment_records.jsonl + merged APD6 sequence/activity rows,source_verified,1
linked_experiment_records.jsonl + merged all_sequences.csv,database_only_no_primary_source,5
linked_experiment_records.jsonl + merged all_sequences.csv,source_conflict,3
linked_experiment_records.jsonl / APD6 peptides.csv,source_conflict,4
linked_experiment_records.jsonl / APD6 peptides.csv,source_verified,1
linked_experiment_records.jsonl / APD6 peptides.csv entry_text,source_conflict,1
linked_experiment_records.jsonl / CAMP sequences.csv,database_only_no_primary_source,1
linked_experiment_records.jsonl / DBAASP assay_refs.csv,source_conflict,2
linked_experiment_records.jsonl / DRAMP general_amps-derived row,source_conflict,1
linked_experiment_records.jsonl / apd6_activity_text_records.csv,database_only_no_primary_source,1
linked_experiment_records.jsonl / apd6_activity_text_records.csv,source_conflict,1
linked_experiment_records.jsonl / assay_refs.csv,source_conflict,14
linked_experiment_records.jsonl / assay_refs.csv,source_verified,4
linked_experiment_records.jsonl / camp_r4_export/data/sequences.csv,source_conflict,7
linked_experiment_records.jsonl / peptides.csv,source_conflict,2
linked_experiment_records.jsonl / peptides.csv,source_verified,3
linked_experiment_records.jsonl / stability_amps.txt,source_conflict,1
linked_experiment_records.jsonl:APD6_peptides.csv_entry_text,source_verified,7
linked_experiment_records.jsonl:assay_refs.csv,source_verified,12
linked_experiment_records.jsonl:camp_r4_export/data/sequences.csv,source_conflict,1
linked_experiment_records.jsonl:camp_r4_export/data/sequences.csv,source_verified,1
linked_experiment_records.jsonl:data/dbamp3_detail_basic.csv,source_verified,1
linked_experiment_records.jsonl:peptides.csv,source_conflict,1
linked_experiment_records.jsonl:peptides.csv,source_verified,3
linked_experiment_records.jsonl; APD6 peptides.csv; apd6_activity_text_records.csv,source_conflict,1
linked_experiment_records.jsonl;apd6_activity_text_records.csv,source_conflict,1
linked_experiment_records.jsonl;merged_output:experiments/apd6_activity_text_records.csv,source_verified,1
linked_literature_records,source_verified,73
linked_literature_records.jsonl,database_only_no_primary_source,261
linked_literature_records.jsonl,sequence_modified_not_normalized,170
linked_literature_records.jsonl,source_conflict,136
linked_literature_records.jsonl,source_verified,9667
linked_literature_records.jsonl,unresolved_record,2
linked_literature_records.jsonl + merged APD6 rows,source_conflict,1
linked_literature_records.jsonl + merged all_sequences/dramp_activity_text_records.csv,database_only_no_primary_source,10
linked_literature_records.jsonl / all_literature_records.csv,source_verified,1
linked_literature_records.jsonl / sequence_literature_links.csv,source_verified,1
literature,source_verified,8
merged DBAASP sequence and assay CSVs; packet linked_literature_records.jsonl,sequence_modified_not_normalized,3
merged DBAASP sequence and assay rows,source_conflict,1
merged DRAMP sequence/activity rows,database_only_no_primary_source,1
merged_amp_corpus DBAASP sequence/literature/assay rows plus packet linked_literature_records.jsonl,sequence_modified_not_normalized,3
merged_amp_corpus DBAASP sequence/literature/assay rows plus packet linked_literature_records.jsonl,source_conflict,1
merged_amp_corpus DBAASP sequence/literature/assay rows plus packet linked_literature_records.jsonl,source_verified,2
merged_amp_corpus/output/experiments/all_experimental_records.csv,database_only_no_primary_source,1
merged_amp_corpus/output/experiments/apd6_activity_text_records.csv,source_verified,1
merged_amp_corpus/output/sequences/all_sequences.csv,sequence_modified_not_normalized,19
merged_amp_corpus/output/sequences/all_sequences.csv,source_conflict,1
merged_amp_corpus/output/sequences/all_sequences.csv,source_verified,7
merged_corpus:sequences/all_sequences.csv + experiments/all_experimental_records.csv,source_conflict,1
merged_output/experiments/all_experimental_records.csv,source_conflict,11
merged_output/experiments/all_experimental_records.csv,source_verified,54
merged_output/experiments/dbaasp_assay_records.csv,source_conflict,9
merged_output/experiments/dbaasp_assay_records.csv,source_verified,69
merged_output/sequences/all_sequences.csv,database_only_no_primary_source,1
merged_output/sequences/all_sequences.csv,sequence_modified_not_normalized,2
merged_output:all_experimental_records.csv,source_verified,1
merged_output:dbaasp_assay_records.csv,source_verified,1
merged_output:sequences/all_sequences.csv,sequence_modified_not_normalized,3
merged_output:sequences/all_sequences.csv,source_verified,2
merged_sequence_catalog,database_only_no_primary_source,1
merged_sequence_catalog,sequence_modified_not_normalized,6
merged_sequence_catalog,source_conflict,1
merged_sequence_catalog,source_verified,25
merged_sequence_catalog_extra,source_conflict,1
merged_sequences/all_sequences.csv,sequence_modified_not_normalized,2
merged_sequences/all_sequences.csv,source_verified,1
merged_sequences:all_sequences.csv,sequence_modified_not_normalized,1
merged_sequences_all_sequences.csv,source_verified,2
packet/database/linked_assay_records.jsonl,database_only_no_primary_source,8
packet/database/linked_assay_records.jsonl,sequence_modified_not_normalized,21
packet/database/linked_assay_records.jsonl,source_conflict,85
packet/database/linked_assay_records.jsonl,source_verified,188
packet/database/linked_dramp_activity_records.jsonl,source_conflict,7
packet/database/linked_dramp_activity_records.jsonl,source_verified,15
packet/database/linked_experiment_records.jsonl,database_only_no_primary_source,7
packet/database/linked_experiment_records.jsonl,sequence_modified_not_normalized,10
packet/database/linked_experiment_records.jsonl,source_conflict,173
packet/database/linked_experiment_records.jsonl,source_verified,105
packet/database/linked_literature_records.jsonl,database_only_no_primary_source,2
packet/database/linked_literature_records.jsonl,source_verified,33
paper_packets/doi__10.3390_antibiotics11111501/database/linked_assay_records.jsonl,source_verified,2
paper_packets/doi__10.3390_antibiotics11111501/database/linked_experiment_records.jsonl,source_verified,2
paper_packets/doi__10.3390_antibiotics11111501/database/linked_literature_records.jsonl,source_verified,3
peptides.csv,database_only_no_primary_source,62
peptides.csv,sequence_modified_not_normalized,20
peptides.csv,source_conflict,131
peptides.csv,source_verified,156
peptides.csv + merged APD6 sequence/activity snapshots,source_verified,1
peptides.csv / APD6 activity text,source_verified,1
peptides.csv / all_sequences.csv,sequence_modified_not_normalized,1
peptides.csv / all_sequences.csv / linked_experiment_records.jsonl,sequence_modified_not_normalized,2
peptides.csv / apd6_activity_text_records.csv,sequence_modified_not_normalized,2
peptides.csv / apd6_activity_text_records.csv,source_conflict,2
peptides.csv / apd6_activity_text_records.csv / all_sequences.csv,source_verified,1
peptides.csv / linked_experiment_records.jsonl,database_only_no_primary_source,1
peptides.csv / linked_experiment_records.jsonl,sequence_modified_not_normalized,2
peptides.csv / linked_experiment_records.jsonl,source_conflict,3
peptides.csv / linked_experiment_records.jsonl,source_verified,8
plant_amps.txt,database_only_no_primary_source,2
plant_amps.txt,source_conflict,6
plant_amps.txt,source_verified,6
primary_pdf_and_researchsquare_html,source_conflict,1
recovered_merged_dbaasp_assay_records.csv,source_conflict,83
sequences/all_sequences.csv,source_verified,1
specific_amps.txt,source_conflict,48
specific_amps.txt,source_verified,36
stability_amps.txt,source_conflict,4
stapled_amps.txt,source_verified,30
unknown,database_only_no_primary_source,43
unknown,sequence_modified_not_normalized,49
unknown,source_conflict,62
unknown,source_verified,441
