paper_id,record_index,database,source_table,source_id,sequence_key,database_subject,database_measure,source_value_support_status,source_value_locator,conflict_context,blocker_class,target_queue,recommended_next_action,review_status,public_v1_included,final_database_artifact
doi__10.1038_s41522-024-00637-y,23,DBAASP,linked_assay_records.jsonl,DBAASP:DBAASPN_20908,DBAASP:DBAASPN_20908,Staphylococcus aureus USA 300 LAC,MIC; fici=0.5,daptomycin_exact_values_require_missing_supplement,"{""locator"": ""xml:sec=9; xml:sec=16"", ""note"": ""Daptomycin/DJK-5 text and methods checked; Supplementary Table 1 file absent locally."", ""source_path"": ""source/paper.xml""}","The primary text discusses daptomycin/DJK-5 and figures, but exact planktonic MIC/FICI values are referenced to Supplementary Table 1, which is not locally recoverable.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,24,DBAASP,linked_assay_records.jsonl,DBAASP:DBAASPN_20908,DBAASP:DBAASPN_20908,Pseudomonas aeruginosa LESB58,MIC; fici=1,daptomycin_exact_values_require_missing_supplement,"{""locator"": ""xml:sec=9; xml:sec=16"", ""note"": ""Daptomycin/DJK-5 text and methods checked; Supplementary Table 1 file absent locally."", ""source_path"": ""source/paper.xml""}","The primary text discusses daptomycin/DJK-5 and figures, but exact planktonic MIC/FICI values are referenced to Supplementary Table 1, which is not locally recoverable.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,25,DBAASP,linked_assay_records.jsonl,DBAASP:DBAASPN_20908,DBAASP:DBAASPN_20908,Pseudomonas aeruginosa LESB58,MIC; concentration=>100,daptomycin_exact_values_require_missing_supplement,"{""locator"": ""xml:sec=9; xml:sec=16"", ""note"": ""Daptomycin/DJK-5 text and methods checked; Supplementary Table 1 file absent locally."", ""source_path"": ""source/paper.xml""}","The primary text discusses daptomycin/DJK-5 and figures, but exact planktonic MIC/FICI values are referenced to Supplementary Table 1, which is not locally recoverable.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,26,DBAASP,linked_assay_records.jsonl,DBAASP:DBAASPN_20908,DBAASP:DBAASPN_20908,Staphylococcus aureus USA 300 LAC,MIC; concentration=0.5,daptomycin_exact_values_require_missing_supplement,"{""locator"": ""xml:sec=9; xml:sec=16"", ""note"": ""Daptomycin/DJK-5 text and methods checked; Supplementary Table 1 file absent locally."", ""source_path"": ""source/paper.xml""}","The primary text discusses daptomycin/DJK-5 and figures, but exact planktonic MIC/FICI values are referenced to Supplementary Table 1, which is not locally recoverable.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,27,DBAASP,linked_assay_records.jsonl,DBAASP:DBAASPN_20908,DBAASP:DBAASPN_20908,Staphylococcus aureus USA 300 LAC,MIC; concentration=1,daptomycin_exact_values_require_missing_supplement,"{""locator"": ""xml:sec=9; xml:sec=16"", ""note"": ""Daptomycin/DJK-5 text and methods checked; Supplementary Table 1 file absent locally."", ""source_path"": ""source/paper.xml""}","The primary text discusses daptomycin/DJK-5 and figures, but exact planktonic MIC/FICI values are referenced to Supplementary Table 1, which is not locally recoverable.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,28,DBAASP,linked_experiment_records.jsonl,DBAASP:DBAASPS_11338,DBAASP:DBAASPS_11338,Pseudomonas aeruginosa LESB58,MIC,synergy_partner_ambiguous_or_supplement_unavailable,"{""locator"": ""xml:table=1"", ""note"": ""Main Table 1 checked; supplementary table unavailable locally."", ""source_path"": ""source/paper.xml""}","DBAASP DJK-5 synergy rows do not identify the partner drug in the local snapshot. Some FICI values overlap Table 1, while additional values appear to require the missing supplementary table.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,29,DBAASP,linked_experiment_records.jsonl,DBAASP:DBAASPS_11338,DBAASP:DBAASPS_11338,Pseudomonas aeruginosa LESB58,MIC,synergy_partner_ambiguous_or_supplement_unavailable,"{""locator"": ""xml:table=1"", ""note"": ""Main Table 1 checked; supplementary table unavailable locally."", ""source_path"": ""source/paper.xml""}","DBAASP DJK-5 synergy rows do not identify the partner drug in the local snapshot. Some FICI values overlap Table 1, while additional values appear to require the missing supplementary table.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,30,DBAASP,linked_experiment_records.jsonl,DBAASP:DBAASPS_11338,DBAASP:DBAASPS_11338,Pseudomonas aeruginosa LESB58,MIC,synergy_partner_ambiguous_or_supplement_unavailable,"{""locator"": ""xml:table=1"", ""note"": ""Main Table 1 checked; supplementary table unavailable locally."", ""source_path"": ""source/paper.xml""}","DBAASP DJK-5 synergy rows do not identify the partner drug in the local snapshot. Some FICI values overlap Table 1, while additional values appear to require the missing supplementary table.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,31,DBAASP,linked_experiment_records.jsonl,DBAASP:DBAASPS_11338,DBAASP:DBAASPS_11338,Pseudomonas aeruginosa LESB58,MIC,synergy_partner_ambiguous_or_supplement_unavailable,"{""locator"": ""xml:table=1"", ""note"": ""Main Table 1 checked; supplementary table unavailable locally."", ""source_path"": ""source/paper.xml""}","DBAASP DJK-5 synergy rows do not identify the partner drug in the local snapshot. Some FICI values overlap Table 1, while additional values appear to require the missing supplementary table.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,32,DBAASP,linked_experiment_records.jsonl,DBAASP:DBAASPS_11338,DBAASP:DBAASPS_11338,Staphylococcus aureus USA 300 LAC,MIC,synergy_partner_ambiguous_or_supplement_unavailable,"{""locator"": ""xml:table=1"", ""note"": ""Main Table 1 checked; supplementary table unavailable locally."", ""source_path"": ""source/paper.xml""}","DBAASP DJK-5 synergy rows do not identify the partner drug in the local snapshot. Some FICI values overlap Table 1, while additional values appear to require the missing supplementary table.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,33,DBAASP,linked_experiment_records.jsonl,DBAASP:DBAASPS_11338,DBAASP:DBAASPS_11338,Staphylococcus aureus USA 300 LAC,MIC,synergy_partner_ambiguous_or_supplement_unavailable,"{""locator"": ""xml:table=1"", ""note"": ""Main Table 1 checked; supplementary table unavailable locally."", ""source_path"": ""source/paper.xml""}","DBAASP DJK-5 synergy rows do not identify the partner drug in the local snapshot. Some FICI values overlap Table 1, while additional values appear to require the missing supplementary table.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,34,DBAASP,linked_experiment_records.jsonl,DBAASP:DBAASPS_11338,DBAASP:DBAASPS_11338,Staphylococcus aureus USA 300 LAC,MIC,synergy_partner_ambiguous_or_supplement_unavailable,"{""locator"": ""xml:table=1"", ""note"": ""Main Table 1 checked; supplementary table unavailable locally."", ""source_path"": ""source/paper.xml""}","DBAASP DJK-5 synergy rows do not identify the partner drug in the local snapshot. Some FICI values overlap Table 1, while additional values appear to require the missing supplementary table.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,35,DBAASP,linked_experiment_records.jsonl,DBAASP:DBAASPS_11338,DBAASP:DBAASPS_11338,Staphylococcus aureus USA 300 LAC,MIC,not_row_level_source_verified,"{""locator"": ""xml:table=1"", ""source_path"": ""source/paper.xml""}",The local source review could not map this database row to a unique source table value.,row_level_source_mapping_ambiguous,database_row_mapping_rework,map database row to exact source row/value or preserve unresolved status,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,48,DBAASP,linked_experiment_records.jsonl,DBAASP:DBAASPN_20908,DBAASP:DBAASPN_20908,Pseudomonas aeruginosa LESB58,MIC,daptomycin_exact_values_require_missing_supplement,"{""locator"": ""xml:sec=9; xml:sec=16"", ""note"": ""Daptomycin/DJK-5 text and methods checked; Supplementary Table 1 file absent locally."", ""source_path"": ""source/paper.xml""}","The primary text discusses daptomycin/DJK-5 and figures, but exact planktonic MIC/FICI values are referenced to Supplementary Table 1, which is not locally recoverable.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,49,DBAASP,linked_experiment_records.jsonl,DBAASP:DBAASPN_20908,DBAASP:DBAASPN_20908,Staphylococcus aureus USA 300 LAC,MIC,daptomycin_exact_values_require_missing_supplement,"{""locator"": ""xml:sec=9; xml:sec=16"", ""note"": ""Daptomycin/DJK-5 text and methods checked; Supplementary Table 1 file absent locally."", ""source_path"": ""source/paper.xml""}","The primary text discusses daptomycin/DJK-5 and figures, but exact planktonic MIC/FICI values are referenced to Supplementary Table 1, which is not locally recoverable.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,50,DBAASP,linked_experiment_records.jsonl,DBAASP:DBAASPN_20908,DBAASP:DBAASPN_20908,Staphylococcus aureus USA 300 LAC,MIC,daptomycin_exact_values_require_missing_supplement,"{""locator"": ""xml:sec=9; xml:sec=16"", ""note"": ""Daptomycin/DJK-5 text and methods checked; Supplementary Table 1 file absent locally."", ""source_path"": ""source/paper.xml""}","The primary text discusses daptomycin/DJK-5 and figures, but exact planktonic MIC/FICI values are referenced to Supplementary Table 1, which is not locally recoverable.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,51,DBAASP,linked_experiment_records.jsonl,DBAASP:DBAASPN_20908,DBAASP:DBAASPN_20908,Pseudomonas aeruginosa LESB58,MIC,daptomycin_exact_values_require_missing_supplement,"{""locator"": ""xml:sec=9; xml:sec=16"", ""note"": ""Daptomycin/DJK-5 text and methods checked; Supplementary Table 1 file absent locally."", ""source_path"": ""source/paper.xml""}","The primary text discusses daptomycin/DJK-5 and figures, but exact planktonic MIC/FICI values are referenced to Supplementary Table 1, which is not locally recoverable.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,52,DBAASP,linked_experiment_records.jsonl,DBAASP:DBAASPN_20908,DBAASP:DBAASPN_20908,Pseudomonas aeruginosa LESB58,MIC; concentration=>100,daptomycin_exact_values_require_missing_supplement,"{""locator"": ""xml:sec=9; xml:sec=16"", ""note"": ""Daptomycin/DJK-5 text and methods checked; Supplementary Table 1 file absent locally."", ""source_path"": ""source/paper.xml""}","The primary text discusses daptomycin/DJK-5 and figures, but exact planktonic MIC/FICI values are referenced to Supplementary Table 1, which is not locally recoverable.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,53,DBAASP,linked_experiment_records.jsonl,DBAASP:DBAASPN_20908,DBAASP:DBAASPN_20908,Staphylococcus aureus USA 300 LAC,MIC; concentration=0.5,daptomycin_exact_values_require_missing_supplement,"{""locator"": ""xml:sec=9; xml:sec=16"", ""note"": ""Daptomycin/DJK-5 text and methods checked; Supplementary Table 1 file absent locally."", ""source_path"": ""source/paper.xml""}","The primary text discusses daptomycin/DJK-5 and figures, but exact planktonic MIC/FICI values are referenced to Supplementary Table 1, which is not locally recoverable.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41522-024-00637-y,54,DBAASP,linked_experiment_records.jsonl,DBAASP:DBAASPN_20908,DBAASP:DBAASPN_20908,Staphylococcus aureus USA 300 LAC,MIC; concentration=1,daptomycin_exact_values_require_missing_supplement,"{""locator"": ""xml:sec=9; xml:sec=16"", ""note"": ""Daptomycin/DJK-5 text and methods checked; Supplementary Table 1 file absent locally."", ""source_path"": ""source/paper.xml""}","The primary text discusses daptomycin/DJK-5 and figures, but exact planktonic MIC/FICI values are referenced to Supplementary Table 1, which is not locally recoverable.",missing_or_unparsed_supplement,source_staging_or_supplement_recovery,recover supplementary table/package or document unrecoverable source gap,blocked_missing_primary_material,False,papers/doi__10.1038_s41522-024-00637-y/final/database_record_verification.json
doi__10.1038_s41598-017-16784-6,7,DBAASP,linked_assay_records.jsonl,DBAASPR_3442,DBAASP:DBAASPR_3442,Staphylococcus aureus 547582,MIC,,,"The current paper text routes these checkerboard MIC/FICI values to Tables S1/S2, but the local packet lacks the MOESM1 PDF that should contain those supplement tables.",synergy_partner_or_fici_mapping_ambiguous,database_row_mapping_rework,map database synergy row to source partner/table row or keep unresolved with partner ambiguity,blocked_missing_primary_material,False,papers/doi__10.1038_s41598-017-16784-6/final/database_record_verification.json
doi__10.1038_s41598-017-16784-6,8,DBAASP,linked_assay_records.jsonl,DBAASPR_3442,DBAASP:DBAASPR_3442,Staphylococcus aureus 547582,MIC,,,"The current paper text routes these checkerboard MIC/FICI values to Tables S1/S2, but the local packet lacks the MOESM1 PDF that should contain those supplement tables.",synergy_partner_or_fici_mapping_ambiguous,database_row_mapping_rework,map database synergy row to source partner/table row or keep unresolved with partner ambiguity,blocked_missing_primary_material,False,papers/doi__10.1038_s41598-017-16784-6/final/database_record_verification.json
doi__10.1038_s41598-017-16784-6,9,DBAASP,linked_assay_records.jsonl,DBAASPR_3442,DBAASP:DBAASPR_3442,Staphylococcus aureus 547582,MIC,,,"The current paper text routes these checkerboard MIC/FICI values to Tables S1/S2, but the local packet lacks the MOESM1 PDF that should contain those supplement tables.",synergy_partner_or_fici_mapping_ambiguous,database_row_mapping_rework,map database synergy row to source partner/table row or keep unresolved with partner ambiguity,blocked_missing_primary_material,False,papers/doi__10.1038_s41598-017-16784-6/final/database_record_verification.json
doi__10.1038_s41598-017-16784-6,10,DBAASP,linked_assay_records.jsonl,DBAASPR_3442,DBAASP:DBAASPR_3442,Staphylococcus aureus 547582,MIC,,,"The current paper text routes these checkerboard MIC/FICI values to Tables S1/S2, but the local packet lacks the MOESM1 PDF that should contain those supplement tables.",synergy_partner_or_fici_mapping_ambiguous,database_row_mapping_rework,map database synergy row to source partner/table row or keep unresolved with partner ambiguity,blocked_missing_primary_material,False,papers/doi__10.1038_s41598-017-16784-6/final/database_record_verification.json
doi__10.1038_s41598-017-16784-6,11,DBAASP,linked_assay_records.jsonl,DBAASPR_3442,DBAASP:DBAASPR_3442,Staphylococcus aureus 547582,MIC,,,"The current paper text routes these checkerboard MIC/FICI values to Tables S1/S2, but the local packet lacks the MOESM1 PDF that should contain those supplement tables.",synergy_partner_or_fici_mapping_ambiguous,database_row_mapping_rework,map database synergy row to source partner/table row or keep unresolved with partner ambiguity,blocked_missing_primary_material,False,papers/doi__10.1038_s41598-017-16784-6/final/database_record_verification.json
doi__10.1038_s41598-017-16784-6,12,DBAASP,linked_assay_records.jsonl,DBAASPR_3442,DBAASP:DBAASPR_3442,Staphylococcus aureus 547582,MIC,,,"The current paper text routes these checkerboard MIC/FICI values to Tables S1/S2, but the local packet lacks the MOESM1 PDF that should contain those supplement tables.",synergy_partner_or_fici_mapping_ambiguous,database_row_mapping_rework,map database synergy row to source partner/table row or keep unresolved with partner ambiguity,blocked_missing_primary_material,False,papers/doi__10.1038_s41598-017-16784-6/final/database_record_verification.json
doi__10.1038_s41598-017-16784-6,13,DBAASP,linked_assay_records.jsonl,DBAASPR_3442,DBAASP:DBAASPR_3442,Pseudomonas aeruginosa 3320,MIC,,,"The current paper text routes these checkerboard MIC/FICI values to Tables S1/S2, but the local packet lacks the MOESM1 PDF that should contain those supplement tables.",synergy_partner_or_fici_mapping_ambiguous,database_row_mapping_rework,map database synergy row to source partner/table row or keep unresolved with partner ambiguity,blocked_missing_primary_material,False,papers/doi__10.1038_s41598-017-16784-6/final/database_record_verification.json
doi__10.1038_s41598-017-16784-6,14,DBAASP,linked_assay_records.jsonl,DBAASPR_3442,DBAASP:DBAASPR_3442,Pseudomonas aeruginosa 3320,MIC,,,"The current paper text routes these checkerboard MIC/FICI values to Tables S1/S2, but the local packet lacks the MOESM1 PDF that should contain those supplement tables.",synergy_partner_or_fici_mapping_ambiguous,database_row_mapping_rework,map database synergy row to source partner/table row or keep unresolved with partner ambiguity,blocked_missing_primary_material,False,papers/doi__10.1038_s41598-017-16784-6/final/database_record_verification.json
doi__10.1038_s41598-017-16784-6,15,DBAASP,linked_assay_records.jsonl,DBAASPR_3442,DBAASP:DBAASPR_3442,Pseudomonas aeruginosa 3320,MIC,,,"The current paper text routes these checkerboard MIC/FICI values to Tables S1/S2, but the local packet lacks the MOESM1 PDF that should contain those supplement tables.",synergy_partner_or_fici_mapping_ambiguous,database_row_mapping_rework,map database synergy row to source partner/table row or keep unresolved with partner ambiguity,blocked_missing_primary_material,False,papers/doi__10.1038_s41598-017-16784-6/final/database_record_verification.json
doi__10.1038_s41598-017-16784-6,16,DBAASP,linked_assay_records.jsonl,DBAASPR_3442,DBAASP:DBAASPR_3442,Pseudomonas aeruginosa 3320,MIC,,,"The current paper text routes these checkerboard MIC/FICI values to Tables S1/S2, but the local packet lacks the MOESM1 PDF that should contain those supplement tables.",synergy_partner_or_fici_mapping_ambiguous,database_row_mapping_rework,map database synergy row to source partner/table row or keep unresolved with partner ambiguity,blocked_missing_primary_material,False,papers/doi__10.1038_s41598-017-16784-6/final/database_record_verification.json
doi__10.1038_s41598-017-16784-6,17,DBAASP,linked_assay_records.jsonl,DBAASPR_3442,DBAASP:DBAASPR_3442,Pseudomonas aeruginosa 3320,MIC,,,"The current paper text routes these checkerboard MIC/FICI values to Tables S1/S2, but the local packet lacks the MOESM1 PDF that should contain those supplement tables.",synergy_partner_or_fici_mapping_ambiguous,database_row_mapping_rework,map database synergy row to source partner/table row or keep unresolved with partner ambiguity,blocked_missing_primary_material,False,papers/doi__10.1038_s41598-017-16784-6/final/database_record_verification.json
doi__10.1038_s41598-017-16784-6,18,DBAASP,linked_assay_records.jsonl,DBAASPR_3442,DBAASP:DBAASPR_3442,Pseudomonas aeruginosa 3320,MIC,,,"The current paper text routes these checkerboard MIC/FICI values to Tables S1/S2, but the local packet lacks the MOESM1 PDF that should contain those supplement tables.",synergy_partner_or_fici_mapping_ambiguous,database_row_mapping_rework,map database synergy row to source partner/table row or keep unresolved with partner ambiguity,blocked_missing_primary_material,False,papers/doi__10.1038_s41598-017-16784-6/final/database_record_verification.json
