score	source_kind	locator	categories	category_counts	char_count	sha256
11	pdf_page	pdf:page=9	direct_membrane_permeability;direct_membrane_structure;inferred_structure;phenotype_activity;toxicity_selectivity	direct_membrane_permeability:1;direct_membrane_structure:2;inferred_structure:1;phenotype_activity:3;toxicity_selectivity:4	5856	10a962acd9809b3fe99e69c1e8ef775e5f5f4d14853fa48a7d2ae3a7c9b1a0fb
10	pdf_page	pdf:page=12	direct_binding_biophysical;inferred_structure;phenotype_activity	direct_binding_biophysical:2;inferred_structure:6;phenotype_activity:2	10895	eae34418e9302e87ba4d9a93c4d84033aa840332dc07bd3880ae324e7ee63fb9
10	pdf_page	pdf:page=11	direct_binding_biophysical;direct_membrane_structure;inferred_structure;phenotype_activity	direct_binding_biophysical:4;direct_membrane_structure:1;inferred_structure:2;phenotype_activity:3	11157	00bf23d777440a467cd9147708f0dda85efa8dec8dd0965c435327eb04d80104
10	pdf_page	pdf:page=10	direct_membrane_structure;phenotype_activity	direct_membrane_structure:3;phenotype_activity:7	7962	60d9acbb65e1b63fe75275d90896e1884b23a0d825389c15c04b000a050755f9
9	xml_section	xml:sec:18	direct_membrane_structure;phenotype_activity;toxicity_selectivity	direct_membrane_structure:2;phenotype_activity:4;toxicity_selectivity:3	1917	cf9969f6142adef972231e42d9e7a160246cbd95b30aa3eef0c9d0c25d74b0a8
9	xml_section	xml:p:45	direct_membrane_structure;phenotype_activity;toxicity_selectivity	direct_membrane_structure:2;phenotype_activity:4;toxicity_selectivity:3	1905	bbf703c3c56e085870e98f7c7f4d813b0bed06fe0c5ae93a1bd57205efafb084
8	xml_section	xml:sec:13	phenotype_activity	phenotype_activity:8	1854	de933ad8f9d9f96da16eb6e2a9ee503d8edb6dc84d76007306e728129f972451
8	xml_section	xml:p:9	direct_membrane_structure;inferred_structure;phenotype_activity;toxicity_selectivity	direct_membrane_structure:1;inferred_structure:3;phenotype_activity:3;toxicity_selectivity:1	1353	f8d6b7f02c515dd59680741f9b68d9765e19323ee79fd397ae4c2a1e48fad48d
8	xml_section	xml:p:6	inferred_structure;phenotype_activity	inferred_structure:5;phenotype_activity:3	1796	5b99d3cb1dc80f0ff662a3ba1b18d9e117738838f122644ec54a586d8fdc703a
8	xml_section	xml:p:21	phenotype_activity	phenotype_activity:8	1780	0f5ee0e4b5b521e080a9f2191eada06bd1230f47548f654df0c303e36a69b5c8
7	xml_section	xml:p:4	direct_binding_biophysical;inferred_structure;phenotype_activity;toxicity_selectivity	direct_binding_biophysical:1;inferred_structure:2;phenotype_activity:3;toxicity_selectivity:1	1482	d87ecb8b9dda99140d5508634db8a6e3db34add17374b4bae772065e8a2d2f5b
6	xml_section	xml:p:5	inferred_structure;phenotype_activity	inferred_structure:2;phenotype_activity:4	931	14527103bc53f6143e6f4f5a6bcbb6a6eee51de65a826031f96c02cafe612150
6	xml_section	xml:p:39	direct_membrane_permeability;phenotype_activity;toxicity_selectivity	direct_membrane_permeability:1;phenotype_activity:3;toxicity_selectivity:2	780	c328b75e7a9da2cf38fa3208dd74abfb20905ed41a3fc0a2b43f1fbada1137e7
5	xml_section	xml:p:8	direct_binding_biophysical;inferred_structure;phenotype_activity	direct_binding_biophysical:1;inferred_structure:1;phenotype_activity:3	1072	0897a5b5fa3cc0f579103c26eb957e8f2123ac1b248688b09240eca219443245
5	pdf_page	pdf:page=7	direct_binding_biophysical;inferred_structure;phenotype_activity	direct_binding_biophysical:3;inferred_structure:1;phenotype_activity:1	4314	312b10962d7f8fb381137e50d8591ec4296ad8be5af7ffcc9e4655521c8b7c6c
4	xml_section	xml:table-wrap:1	phenotype_activity	phenotype_activity:4	634	960f35f9fa9c4dcc8dd63975aaacce1346ea33007be18a09b5458e4d426e0194
4	xml_section	xml:p:7	computational;inferred_structure;phenotype_activity	computational:1;inferred_structure:2;phenotype_activity:1	1065	0afcf8f53231d276cd65c2e4c87e8d00f688fd6af28682b92be06f4c6e7d8c8a
4	xml_section	xml:p:35	direct_membrane_structure	direct_membrane_structure:4	848	c8dfc60af9fe84270776989178174b5c690d7491c37e0b19b0a72d789a7beb11
4	xml_section	xml:p:3	direct_binding_biophysical;inferred_structure;phenotype_activity	direct_binding_biophysical:1;inferred_structure:2;phenotype_activity:1	728	c51a01da368533e6ca1a83e0c82ccb9c08dec3fe4cdaa4e773f5a945712b3a1b
4	pdf_table	xml:table-wrap:1	phenotype_activity	phenotype_activity:4	662	7e9472fd0c4a6dbc3d898c1554341813640af596a52b1902b3d841d5628592b2
4	pdf_page	pdf:page=13	direct_binding_biophysical;phenotype_activity	direct_binding_biophysical:3;phenotype_activity:1	3014	53d9ecdd1ff67ce10281dba5040b2c686b3cf62c419f392933a22f32fe41f11e
3	xml_section	xml:sec:16	direct_membrane_permeability;toxicity_selectivity	direct_membrane_permeability:1;toxicity_selectivity:2	1221	f96e36939f5b37e0e3f7c07f79c92f962b37ae425f3abe835a3840476f886027
3	xml_section	xml:sec:15	direct_membrane_structure	direct_membrane_structure:3	464	2bd90f8ba60c51d1e031a102ed1c68b2e8fa62f33309a914c32b272c131d132d
3	xml_section	xml:p:42	direct_membrane_permeability;direct_membrane_structure;inferred_structure	direct_membrane_permeability:1;direct_membrane_structure:1;inferred_structure:1	1279	43f3ce3c1a586b51b41adb0273eda9cde6a8c9080b253e7dbbc2484193236032
3	xml_section	xml:p:37	phenotype_activity;toxicity_selectivity	phenotype_activity:1;toxicity_selectivity:2	706	30590428158cd0b16fb38df9b63bfce39e35b33252bb522bd46adf9ee12d836b
3	xml_section	xml:article-title:58	computational;direct_binding_biophysical;inferred_structure	computational:1;direct_binding_biophysical:1;inferred_structure:1	138	36b6b9829512ff59839e6f37b27d6ef057ff1c44397adaf571480ccaad5701e7
3	xml_section	xml:article-title:21	direct_binding_biophysical;inferred_structure;phenotype_activity	direct_binding_biophysical:1;inferred_structure:1;phenotype_activity:1	120	379a87f4ef0286e085f911fefed774d71a88c9b8307c1825f56f4602f3150074
2	xml_section	xml:sec:9	direct_membrane_structure	direct_membrane_structure:2	110	0d8f71687c33cdec2e1a1d9a06bbbbf2eb63e940b70aedaa856e031f605bac5c
2	xml_section	xml:sec:6	direct_binding_biophysical	direct_binding_biophysical:2	109	1e937b33981de0b7d5217a3357b312d32dd66ba53b5909c0fe99fd19397a7b46
2	xml_section	xml:p:43	direct_membrane_structure;phenotype_activity	direct_membrane_structure:1;phenotype_activity:1	764	67f5cf8b730273c0b716b785c977c3f8e15d6a8bcc3c92a7643ce4dff8d47faf
2	xml_section	xml:p:33	direct_membrane_structure;inferred_structure	direct_membrane_structure:1;inferred_structure:1	576	8e937e2c9d2ec5e36ee20a4032380abff044b01ef2ec94f8f180ad7167e6123c
2	xml_section	xml:p:28	direct_binding_biophysical	direct_binding_biophysical:2	1139	a4ff80b8e52f545e6593d38c789c648bbdec049270b829b425425d2f6db0fc9a
2	xml_section	xml:p:25	inferred_structure;phenotype_activity	inferred_structure:1;phenotype_activity:1	579	70017be2c9ef67e0532ed61a7ba477df7102eb0184ec98f9a06e667495abff97
2	xml_section	xml:p:24	direct_membrane_permeability;toxicity_selectivity	direct_membrane_permeability:1;toxicity_selectivity:1	1160	9b11e7ca6bf6a4db5c0a22652d62c9aa4bf5f2ebb74ae23f4e0507407fa395e9
2	xml_section	xml:fig:8	direct_membrane_structure;phenotype_activity	direct_membrane_structure:1;phenotype_activity:1	773	443546f0e568112977da80126fd201f8d4ef80ccaa7e6c690f5a693bb6fbede0
2	xml_section	xml:caption:9	direct_membrane_structure;phenotype_activity	direct_membrane_structure:1;phenotype_activity:1	764	67f5cf8b730273c0b716b785c977c3f8e15d6a8bcc3c92a7643ce4dff8d47faf
2	xml_section	xml:caption:8	phenotype_activity	phenotype_activity:2	153	83a4e396dc55e7512fcca2eb05c8bc249d90aa624bb96f4d9346ccd7b0b04a4f
2	xml_section	xml:article-title:53	inferred_structure;phenotype_activity	inferred_structure:1;phenotype_activity:1	64	9788a675e559581eaf0b4d77d86395a006521a9429b1df448b04dd3ac5d62d17
2	pdf_page	pdf:page=1	phenotype_activity	phenotype_activity:2	1188	a79642a119517a0da38edd2c3f3044feff8cfe8ef17a31329202e2db298df9a4
2	figure_caption	xml:fig:8	direct_membrane_structure;phenotype_activity	direct_membrane_structure:1;phenotype_activity:1	787	1fcd101a357249f4bfdf8bd886fca1545597dfd15dd8425b838fc8b168d39601
2	figure_caption	xml:caption:9	direct_membrane_structure;phenotype_activity	direct_membrane_structure:1;phenotype_activity:1	786	a588792b95b007b5f3ef6a80e0519729b9b35bf615c6912fb961fee64abd8acd
2	figure_caption	xml:caption:8	phenotype_activity	phenotype_activity:2	175	ec059f8dbf098824d722db5a0a2b1a24cbcda39b8cad65b20df739580d5cd9d1
1	xml_section	xml:sec:14	phenotype_activity	phenotype_activity:1	860	aa709404fe1e20a0128f592222357e5c79c47205c87e058ad670ab2a4d4404b0
1	xml_section	xml:p:50	direct_membrane_structure	direct_membrane_structure:1	340	e5a8830250be94aabfb190a6a6bfa1be9978b7ffe48c2d5cb7fe671c98091b2d
1	xml_section	xml:p:44	direct_membrane_structure	direct_membrane_structure:1	161	61f3ff840e3289cc9510783a25fde7d2d26f981557362f71c9e3599604ddf086
1	xml_section	xml:p:40	toxicity_selectivity	toxicity_selectivity:1	687	d2cdabe97c2ff38f3c0c834530d627e38597f77ca593666893746f36c9b0442d
1	xml_section	xml:p:38	phenotype_activity	phenotype_activity:1	271	bbb8923b9592b66ce7168310f931a6f820df4e39f31cba0c004c4530bde56c40
1	xml_section	xml:p:34	direct_membrane_structure	direct_membrane_structure:1	145	eba966073275c3b40ed103fb916adbbcec0a9b76bb66aea8dc5086d84d329ee9
1	xml_section	xml:p:29	direct_binding_biophysical	direct_binding_biophysical:1	85	b289ac62d1b18937131d06217651729eda8f1f4e11a45d8a7112b1e3f5026064
1	xml_section	xml:p:23	direct_membrane_structure	direct_membrane_structure:1	429	51b9ad33dde14c8ec3614ad00d028b8091e79b5b898453c7588722b664c6e186
1	xml_section	xml:p:22	phenotype_activity	phenotype_activity:1	799	355e638c367ef2f3f0dbd52577a40a53e6f2bfac152792296772249b64fb50b0
1	xml_section	xml:p:2	inferred_structure	inferred_structure:1	1219	5e90ffe742b64008896d9f8b743ba2a303c9013b43bf95c9e089f7afe628a8a1
1	xml_section	xml:p:13	direct_binding_biophysical	direct_binding_biophysical:1	93	2e70f6955ac6bbe7817114b672db3e20c51ecf356d0a11943198a7e7d69a47ad
1	xml_section	xml:fig:9	direct_membrane_structure	direct_membrane_structure:1	170	75f700d18507de8ab14326e15bbc3d8b2c1fbbf076c6977677d53ecaad7c047b
1	xml_section	xml:fig:7	toxicity_selectivity	toxicity_selectivity:1	696	04373ec47a2a5bb95948ade84cd5a3916c0dd1d582977cdc89892ef12e56b78e
1	xml_section	xml:fig:6	phenotype_activity	phenotype_activity:1	280	0506462cc78e0d43f55f11d687c24146c2db15b990e406f906480622d3a0d8d0
1	xml_section	xml:fig:4	direct_membrane_structure	direct_membrane_structure:1	154	4359a3dba3264e6c9a53786327a6ddb29394f6caf99427c7b706912fa69fc7b9
1	xml_section	xml:fig:2	direct_binding_biophysical	direct_binding_biophysical:1	94	7f045e5842110ae7b7a746053e8a1f03334e10c5484a9aa1c9f9c1cedc6f8358
1	xml_section	xml:caption:7	toxicity_selectivity	toxicity_selectivity:1	687	d2cdabe97c2ff38f3c0c834530d627e38597f77ca593666893746f36c9b0442d
1	xml_section	xml:caption:6	phenotype_activity	phenotype_activity:1	271	bbb8923b9592b66ce7168310f931a6f820df4e39f31cba0c004c4530bde56c40
1	xml_section	xml:caption:4	direct_membrane_structure	direct_membrane_structure:1	145	eba966073275c3b40ed103fb916adbbcec0a9b76bb66aea8dc5086d84d329ee9
1	xml_section	xml:caption:2	direct_binding_biophysical	direct_binding_biophysical:1	85	b289ac62d1b18937131d06217651729eda8f1f4e11a45d8a7112b1e3f5026064
1	xml_section	xml:caption:10	direct_membrane_structure	direct_membrane_structure:1	161	61f3ff840e3289cc9510783a25fde7d2d26f981557362f71c9e3599604ddf086
1	xml_section	xml:article-title:79	direct_binding_biophysical	direct_binding_biophysical:1	22	1d47472ad805afef8dcd6e4ebf080d84d18ad68b591fe9f155e7115cd8c18a45
1	xml_section	xml:article-title:78	phenotype_activity	phenotype_activity:1	154	cf4e1e39ddde10259e29249831732a38baab90700c381201db1000f6c2e92720
1	xml_section	xml:article-title:74	direct_binding_biophysical	direct_binding_biophysical:1	77	daf5e5f72ffb36728c89b17e79d7c779092fab919f94d1fe2e311bfaba343ac3
1	xml_section	xml:article-title:64	inferred_structure	inferred_structure:1	98	b175223a3ad4d4f88bae4ad9374f1663f8d7f9c2ca60b2d46370095a878ef8da
1	xml_section	xml:article-title:61	phenotype_activity	phenotype_activity:1	145	eb67d11999534e4af8124d9b7ee29ea51fad0f371e477796ac9f8a3b0d427c41
1	xml_section	xml:article-title:55	inferred_structure	inferred_structure:1	178	22e44b15f8b92a39d73e7e2fb741f6f8d467aa16a786376ba1dadf218acbba7d
1	xml_section	xml:article-title:51	inferred_structure	inferred_structure:1	113	defd060e48c00528ce6f88291fca36b1bf3c7039755af42c83a77191796368a5
1	xml_section	xml:article-title:45	inferred_structure	inferred_structure:1	81	7ffdf3cabcb75a2d24de4cd518ef5faeb46ca77c248bb350116712afa66ff544
1	xml_section	xml:article-title:41	inferred_structure	inferred_structure:1	81	7ad80ab6afee5dbacbc087b9aac44ba99250b8e2dbbbc9a4ad63997de716721d
1	xml_section	xml:article-title:35	direct_binding_biophysical	direct_binding_biophysical:1	70	49d6b1072f5022483b68f7a1897d1cfaee5c35765b29d4a0a6f650218108742e
1	xml_section	xml:article-title:29	inferred_structure	inferred_structure:1	117	bbdde8b8e73b261d3a3f0719897298ea4792a584a8ef3618db8099beb66b162a
1	xml_section	xml:article-title:25	phenotype_activity	phenotype_activity:1	91	e0ac28fdacb01be346b5f60150dad34e368ed7a537049db4f3064fda6b27f599
1	xml_section	xml:article-title:23	phenotype_activity	phenotype_activity:1	111	c173a64db2eab3a92015fc1c65c2ea4335fe6c428b2cecd095db649830a39eac
1	xml_section	xml:article-title:2	phenotype_activity	phenotype_activity:1	118	c069da158cf3c1da0e82e33c843b80647e24cf4fbe31f57a266fbce3fe8f63e5
1	xml_section	xml:article-title:19	direct_binding_biophysical	direct_binding_biophysical:1	104	ff576383b44332cc0ce95da0db5773d01dbc492dbeb0844711dbc2a5e6846c3a
1	xml_section	xml:article-title:17	direct_binding_biophysical	direct_binding_biophysical:1	86	80d13f8f6402afef9ab74aa26d1eab6203e2b372d337f78e8506ea3e09df2fa5
1	xml_section	xml:article-title:1	phenotype_activity	phenotype_activity:1	102	711d37a6383a22e89fd0a0daa0d762be48836b504bfb72ad7a6ffb9b3f83bed4
1	supplement_ocr_page	supp:mt4c01635_si_001.pdf:page=6	direct_binding_biophysical	direct_binding_biophysical:1	213	894919000ef7335d81e63cbb58e3fbb6d33eb2717031d2066edebb97a1a07010
1	supplement_ocr_page	supp:mt4c01635_si_001.pdf:page=1	phenotype_activity	phenotype_activity:1	648	bf72f04320e18020467ce19ed358fae209c8d463ade65fbfeb7275dd84fa07bb
1	figure_caption	xml:fig:9	direct_membrane_structure	direct_membrane_structure:1	184	bd95544ca8623c61228ce37fabfb486ecc7278aca22f1beb1f307d9afe06e544
1	figure_caption	xml:fig:7	toxicity_selectivity	toxicity_selectivity:1	710	3c27733e7c3728f10cd583817623db1509f2c64c71a46a7152877962077fe624
1	figure_caption	xml:fig:6	phenotype_activity	phenotype_activity:1	294	0418361137898a15f4a6951774e80e51069ba0b0f94d656210f72d481f4816a3
1	figure_caption	xml:fig:4	direct_membrane_structure	direct_membrane_structure:1	168	0c5af3a608bf26218b217cf87634b132855344476537d19179e0d231f44f1368
1	figure_caption	xml:fig:2	direct_binding_biophysical	direct_binding_biophysical:1	108	ecf3fe80c353414bc31253c74236c9edd2cc3a5f4178755c105523fff4e4796c
1	figure_caption	xml:caption:7	toxicity_selectivity	toxicity_selectivity:1	709	210a66d308542716b94a2c1a775b1fd5b9adf8c77ad350c665b75630b5b2e754
1	figure_caption	xml:caption:6	phenotype_activity	phenotype_activity:1	293	b7c3353af17fb7c5878a8a14a513e570145e3d3dc7e3fbafe1f65a485ee0a7b4
1	figure_caption	xml:caption:4	direct_membrane_structure	direct_membrane_structure:1	167	86bfbea5d9d4fbe8bc80470d7d1e5fbe1b8a96d19801edc161fb334983ded2a5
1	figure_caption	xml:caption:2	direct_binding_biophysical	direct_binding_biophysical:1	107	64a4501b8ef6892f6d3e773e131ed83c43c51348128594f338d28094d668ba84
1	figure_caption	xml:caption:10	direct_membrane_structure	direct_membrane_structure:1	184	be1648ef3673787ce47b53d5dc2c6a64183ca43cd6f20cba6610fc67b57150f0
1	database_candidate_machine	database:DBAASP-machine:row=7	phenotype_activity	phenotype_activity:1	47	9c47a1a38db54caa4b4382b5e653d0498eb6353cc7314b53998df237069581fc
1	database_candidate_machine	database:DBAASP-machine:row=6	phenotype_activity	phenotype_activity:1	47	248e777e6644b365cd5714cd1facd7cd1946364dab3efdb862590eae892df246
1	database_candidate_machine	database:DBAASP-machine:row=5	phenotype_activity	phenotype_activity:1	46	238204af2e10d8f0395d5892b0011c8a28b91f1bcdc723ee7dd822ef62fbc251
1	database_candidate_machine	database:DBAASP-machine:row=4	phenotype_activity	phenotype_activity:1	46	36cab94985505a2cd5449326ad81bfe60157292e82922b508e4cdde1e721f924
1	database_candidate_machine	database:DBAASP-machine:row=3	phenotype_activity	phenotype_activity:1	46	28a950bb95392aa7c3f894aafefa243704e5fff9334724a7fec81986a311f1e3
1	database_candidate_machine	database:DBAASP-machine:row=2	phenotype_activity	phenotype_activity:1	46	ece3553cebbcb04354525ef0067046a9b865ba367f5c67c9779f01999ca415c4
1	database_candidate_machine	database:DBAASP-machine:row=1	phenotype_activity	phenotype_activity:1	45	6e6f33d999a9e7ebb3ae1a46fec1fa13a7f38034c3444f8bc10ef0fbfe3514c0
1	database_candidate_machine	database:DBAASP-machine:row=0	phenotype_activity	phenotype_activity:1	45	fc8013cbdcf627574424705c518a03bc270ebf96c09d7e1d22096367aba90330
